Frame ordinal,Time (s),velocity,acceleration (m/s^2),bar_height,horizontal_displacement,power (kW),force (kN)
456,15.156,-0.56,0.28,-0.14,7.63,0,10.09
457,15.189,-0.56,0.24,-0.16,8.05,0,10.05
458,15.222,-0.55,0.23,-0.18,8.51,0,10.04
459,15.256,-0.54,0.02,-0.19,9.01,0,9.83
460,15.289,-0.55,-0.21,-0.21,9.45,0,9.6
461,15.322,-0.56,-0.29,-0.23,9.73,0,9.52
462,15.356,-0.56,-0.32,-0.25,9.97,0,9.49
463,15.389,-0.58,-0.15,-0.27,10.17,0,9.66
464,15.422,-0.58,0.34,-0.29,10.35,0,10.15
465,15.455,-0.56,0.74,-0.31,10.45,0,10.55
466,15.489,-0.52,0.7,-0.32,10.51,0,10.51
467,15.522,-0.51,0.58,-0.34,10.56,0,10.39
468,15.555,-0.49,0.67,-0.36,10.59,0,10.48
469,15.589,-0.46,0.59,-0.37,10.58,0,10.4
470,15.622,-0.44,0.17,-0.39,10.53,0,9.98
471,15.655,-0.45,-0.08,-0.4,10.51,0,9.73
472,15.689,-0.46,0.33,-0.42,10.44,0,10.14
473,15.722,-0.44,1.04,-0.44,10.35,0,10.85
474,15.755,-0.38,1.28,-0.45,10.27,0,11.09
475,15.789,-0.34,0.99,-0.46,10.11,0,10.8
476,15.822,-0.32,0.75,-0.47,9.73,0,10.56
477,15.855,-0.3,0.76,-0.48,9.35,0,10.57
478,15.888,-0.26,0.65,-0.49,9.02,0,10.46
479,15.922,-0.25,0.43,-0.5,8.7,0,10.24
480,15.955,-0.24,0.39,-0.51,8.26,0,10.2
481,15.988,-0.23,0.49,-0.52,7.8,0,10.3
482,16.022,-0.21,0.64,-0.52,7.34,0,10.45
483,16.055,-0.19,1,-0.53,7.03,0,10.81
484,16.088,-0.15,1.82,-0.53,6.75,0,11.63
485,16.122,-0.08,3.15,-0.54,6.41,0,12.96
486,16.155,0.06,4.69,-0.54,6.08,0.81,14.5
487,16.188,0.24,5.94,-0.54,5.91,3.82,15.75
488,16.222,0.46,6.63,-0.53,5.78,7.61,16.44
489,16.255,0.7,6.57,-0.51,5.59,11.44,16.38
490,16.288,0.91,5.66,-0.48,5.33,14.15,15.47
491,16.321,1.08,4.32,-0.44,5.06,15.27,14.13
492,16.355,1.2,3.24,-0.41,4.8,15.62,13.05
493,16.388,1.29,2.71,-0.36,4.45,16.1,12.52
494,16.421,1.37,2.5,-0.32,3.98,16.86,12.31
495,16.455,1.46,2.08,-0.27,3.56,17.33,11.89
496,16.488,1.52,1.21,-0.22,3.24,16.77,11.02
497,16.521,1.54,0.3,-0.17,2.92,15.54,10.11
498,16.555,1.53,-0.45,-0.12,2.53,14.36,9.36
499,16.588,1.51,-1.33,-0.07,2.09,12.83,8.48
500,16.621,1.45,-2.35,-0.02,1.65,10.82,7.46
501,16.654,1.35,-3.24,0.03,1.21,8.88,6.57
502,16.688,1.23,-4.18,0.07,0.8,6.95,5.63
503,16.721,1.08,-5.24,0.11,0.37,4.94,4.57
504,16.754,0.88,-5.84,0.14,0.08,3.49,3.97
505,16.788,0.67,-5.66,0.17,0.43,2.79,4.15
506,16.821,0.49,-4.92,0.19,0.63,2.4,4.89
507,16.854,0.34,-3.78,0.2,0.74,2.05,6.03
508,16.888,0.23,-2.5,0.21,0.84,1.71,7.31
509,16.921,0.18,-1.68,0.22,0.85,1.47,8.13
510,16.954,0.14,-1.53,0.22,0.78,1.16,8.28
511,16.988,0.08,-1.46,0.23,0.65,0.67,8.35
512,17.021,0.03,-0.97,0.23,0.47,0.25,8.84
513,17.054,0.01,-0.41,0.23,0.3,0.13,9.4
514,17.087,0.01,-0.32,0.23,0.2,0.14,9.49
515,17.121,0,-0.46,0.23,0.12,0,9.35
516,17.154,-0.03,-0.33,0.23,0.03,0,9.48
517,17.187,-0.03,-0.06,0.23,0.08,0,9.75
518,17.221,-0.02,-0.08,0.23,0.27,0,9.73
519,17.254,-0.03,-0.44,0.23,0.52,0,9.37
520,17.287,-0.05,-0.95,0.22,0.67,0,8.86
521,17.321,-0.09,-1.59,0.22,0,0,8.22
522,17.354,-0.15,-2.31,0.22,0.18,0,7.5
523,17.387,-0.24,-2.82,0.21,0.18,0,6.99
524,17.421,-0.35,-2.89,0.2,0.1,0,6.92
525,17.454,-0.45,-2.59,0.19,0.17,0,7.22
526,17.487,-0.52,-2.17,0.17,0.29,0,7.64
527,17.52,-0.59,-1.72,0.15,0.4,0,8.09
528,17.554,-0.64,-1.15,0.13,0.51,0,8.66
529,17.587,-0.67,-0.52,0.11,0.65,0,9.29
530,17.62,-0.67,-0.1,0.09,0.87,0,9.71
531,17.654,-0.67,-0.04,0.07,1.14,0,9.77
532,17.687,-0.67,-0.1,0.04,1.37,0,9.71
533,17.72,-0.68,0.03,0.02,1.51,0,9.84
534,17.754,-0.67,0.32,0,1.6,0,10.13
535,17.787,-0.65,0.37,-0.02,1.77,0,10.18
536,17.82,-0.64,-0.09,-0.04,2,0,9.72
537,17.854,-0.65,-0.77,-0.06,2.14,0,9.04
538,17.887,-0.7,-0.96,-0.09,2.4,0,8.85
539,17.92,-0.73,-0.34,-0.11,2.88,0,9.47
540,17.953,-0.73,0.56,-0.14,3.37,0,10.37
541,17.987,-0.68,1.03,-0.16,3.51,0,10.84
542,18.02,-0.65,0.97,-0.18,3.38,0,10.78
543,18.053,-0.62,0.6,-0.2,3.33,0,10.41
544,18.087,-0.6,0.11,-0.22,3.46,0,9.92
545,18.12,-0.62,-0.05,-0.24,3.66,0,9.76
546,18.153,-0.62,0.4,-0.26,3.8,0,10.21
547,18.187,-0.59,0.87,-0.29,3.91,0,10.68
548,18.22,-0.55,0.76,-0.3,3.97,0,10.57
549,18.253,-0.53,0.35,-0.32,4.08,0,10.16
550,18.287,-0.53,0.17,-0.34,4.33,0,9.98
551,18.32,-0.53,0.31,-0.36,4.73,0,10.12
552,18.353,-0.51,0.53,-0.37,5.17,0,10.34
553,18.386,-0.49,0.54,-0.39,5.72,0,10.35
554,18.42,-0.47,0.25,-0.41,6.26,0,10.06
555,18.453,-0.47,-0.06,-0.42,6.76,0,9.75
556,18.486,-0.48,-0.18,-0.44,7.27,0,9.63
557,18.52,-0.49,-0.09,-0.45,7.79,0,9.72
558,18.553,-0.49,0.21,-0.47,8.29,0,10.02
559,18.586,-0.48,0.68,-0.49,8.85,0,10.49
560,18.62,-0.44,1.07,-0.5,9.27,0,10.88
561,18.653,-0.4,1.28,-0.52,9.58,0,11.09
562,18.686,-0.36,1.61,-0.53,10.06,0,11.42
563,18.719,-0.3,2.2,-0.54,10.56,0,12.01
564,18.753,-0.21,2.71,-0.55,11,0,12.52
565,18.786,-0.11,2.94,-0.55,11.32,0,12.75
566,18.819,-0.02,3.35,-0.56,11.35,0,13.16
567,18.853,0.1,4.54,-0.56,11.02,1.4,14.35
568,18.886,0.27,6.35,-0.55,10.66,4.4,16.16
569,18.919,0.52,7.79,-0.54,10.3,9.22,17.6
570,18.953,0.82,7.88,-0.52,9.78,14.5,17.69
571,18.986,1.08,6.49,-0.48,9.14,17.65,16.3
572,19.019,1.26,4.65,-0.44,8.45,18.18,14.46
573,19.053,1.37,3.44,-0.4,7.78,18.19,13.25
574,19.086,1.48,2.7,-0.35,7.21,18.49,12.51
575,19.119,1.56,1.84,-0.3,6.83,18.18,11.65
576,19.152,1.6,0.96,-0.25,6.42,17.23,10.77
577,19.186,1.62,0.33,-0.19,5.85,16.39,10.14
578,19.219,1.62,-0.17,-0.14,5.07,15.63,9.64
579,19.252,1.6,-0.65,-0.09,4.22,14.69,9.16
580,19.286,1.58,-1.33,-0.03,3.28,13.39,8.48
581,19.319,1.53,-2.6,0.02,2.23,11.03,7.21
582,19.352,1.42,-4.47,0.07,1.14,7.57,5.34
583,19.386,1.23,-6.4,0.12,0.03,4.2,3.41
584,19.419,0.98,-7.6,0.15,1.15,2.16,2.21
585,19.452,0.7,-7.41,0.18,2.3,1.68,2.4
586,19.486,0.46,-6.18,0.2,3.35,1.68,3.63
587,19.519,0.29,-4.86,0.21,4.27,1.43,4.95
588,19.552,0.15,-3.82,0.22,5.13,0.89,5.99
589,19.585,0.04,-2.95,0.22,5.97,0.25,6.86
590,19.619,-0.05,-2.21,0.22,6.73,0,7.6
591,19.652,-0.11,-1.58,0.22,7.35,0,8.23
592,19.685,-0.15,-1.03,0.21,7.98,0,8.78
593,19.719,-0.17,-0.63,0.21,8.63,0,9.18
594,19.752,-0.19,-0.29,0.2,9.23,0,9.52
595,19.785,-0.2,0.15,0.19,9.82,0,9.96
596,19.819,-0.18,0.6,0.19,10.32,0,10.41
597,19.852,-0.15,0.72,0.18,10.65,0,10.53
598,19.885,-0.13,0.51,0.18,10.95,0,10.32
599,19.919,-0.12,0.3,0.17,11.18,0,10.11
600,19.952,-0.11,0.12,0.17,11.25,0,9.93
601,19.985,-0.1,-0.27,0.17,11.37,0,9.54
602,20.018,-0.12,-0.85,0.16,11.59,0,8.96
603,20.052,-0.16,-1.51,0.16,11.57,0,8.3
604,20.085,-0.22,-2.31,0.15,11.32,0,7.5
605,20.118,-0.31,-3.12,0.14,10.99,0,6.69
606,20.152,-0.44,-3.43,0.13,10.63,0,6.38
607,20.185,-0.56,-2.91,0.12,10.29,0,6.9
608,20.218,-0.64,-1.91,0.09,9.93,0,7.9
609,20.252,-0.68,-0.84,0.07,9.41,0,8.97
610,20.285,-0.7,0.06,0.05,8.68,0,9.87
611,20.318,-0.67,0.39,0.03,7.91,0,10.2
612,20.351,-0.65,0.03,0,7.21,0,9.84
613,20.385,-0.67,-0.36,-0.02,6.58,0,9.45
614,20.418,-0.69,-0.28,-0.04,5.78,0,9.53
615,20.451,-0.69,0.02,-0.06,5.11,0,9.83
616,20.485,-0.68,0.19,-0.09,4.7,0,10
617,20.518,-0.68,0.22,-0.11,4.5,0,10.03
618,20.551,-0.67,0.16,-0.13,4.11,0,9.97
619,20.585,-0.67,0.21,-0.15,3.39,0,10.02
620,20.618,-0.66,0.39,-0.18,2.65,0,10.2
621,20.651,-0.63,0.4,-0.2,2.14,0,10.21
622,20.685,-0.63,0.34,-0.22,1.65,0,10.15
623,20.718,-0.62,0.61,-0.24,1.19,0,10.42
624,20.751,-0.59,1.05,-0.26,0.83,0,10.86
625,20.784,-0.54,1.22,-0.28,0.45,0,11.03
626,20.818,-0.5,1.1,-0.3,0.09,0,10.91
627,20.851,-0.47,0.89,-0.31,0.26,0,10.7
628,20.884,-0.44,0.61,-0.33,0.62,0,10.42
629,20.918,-0.43,0.3,-0.34,0.85,0,10.11
630,20.951,-0.43,0.11,-0.36,1.01,0,9.92
631,20.984,-0.43,0.07,-0.37,1.21,0,9.88
632,21.018,-0.42,0.09,-0.38,1.42,0,9.9
633,21.051,-0.42,0.14,-0.4,1.51,0,9.95
634,21.084,-0.41,0.2,-0.41,1.56,0,10.01
635,21.118,-0.4,0.23,-0.43,1.7,0,10.04
636,21.151,-0.4,0.32,-0.44,1.76,0,10.13
637,21.184,-0.39,0.56,-0.45,1.74,0,10.37
638,21.217,-0.36,0.79,-0.47,1.76,0,10.6
639,21.251,-0.33,0.86,-0.48,1.61,0,10.67
640,21.284,-0.3,0.74,-0.49,1.4,0,10.55
641,21.317,-0.28,0.55,-0.5,1.35,0,10.36
642,21.351,-0.27,0.53,-0.51,1.31,0,10.34
643,21.384,-0.25,0.92,-0.51,1.32,0,10.73
644,21.417,-0.21,1.66,-0.52,1.44,0,11.47
645,21.451,-0.14,2.57,-0.53,1.51,0,12.38
646,21.484,-0.04,3.78,-0.53,1.34,0,13.59
647,21.517,0.1,5.44,-0.53,1.12,1.46,15.25
648,21.551,0.31,7.12,-0.53,0.92,5.32,16.93
649,21.584,0.59,7.74,-0.51,0.77,10.44,17.55
650,21.617,0.86,6.85,-0.49,0.59,14.31,16.66
651,21.65,1.06,5.23,-0.46,0.46,15.91,15.04
652,21.684,1.2,3.89,-0.42,0.41,16.45,13.7
653,21.717,1.31,3.22,-0.37,0.34,17.01,13.03
654,21.75,1.4,2.96,-0.33,0.08,17.91,12.77
655,21.784,1.51,2.34,-0.28,0.23,18.36,12.15
656,21.817,1.58,1.08,-0.23,0.43,17.2,10.89
657,21.85,1.58,-0.05,-0.17,0.6,15.39,9.76
658,21.884,1.56,-0.63,-0.12,0.9,14.31,9.18
659,21.917,1.54,-1.23,-0.07,1.22,13.22,8.58
660,21.95,1.49,-2.24,-0.02,1.56,11.25,7.57
661,21.984,1.4,-3.72,0.03,1.9,8.49,6.09
662,22.017,1.25,-5.54,0.07,2.23,5.33,4.27
663,22.05,1.02,-6.94,0.11,2.51,2.94,2.87
664,22.083,0.76,-7.2,0.14,2.66,1.99,2.61
665,22.117,0.53,-6.55,0.16,2.7,1.71,3.26
666,22.15,0.32,-5.55,0.18,2.76,1.37,4.26
667,22.183,0.16,-4.44,0.18,2.8,0.83,5.37
668,22.217,0.03,-3.33,0.19,2.74,0.17,6.48
669,22.25,-0.07,-2.29,0.19,2.57,0,7.52
670,22.283,-0.12,-1.35,0.18,2.34,0,8.46
671,22.317,-0.15,-0.5,0.18,2.23,0,9.31
672,22.35,-0.16,0.36,0.17,2.28,0,10.17
673,22.383,-0.13,1.15,0.17,2.33,0,10.96
674,22.417,-0.07,1.44,0.16,2.28,0,11.25
675,22.45,-0.02,1.03,0.16,2.22,0,10.84
676,22.483,0,0.3,0.16,2.22,0.02,10.11
677,22.516,-0.01,-0.14,0.16,2.31,0,9.67
678,22.55,-0.02,-0.18,0.16,2.45,0,9.63
679,22.583,-0.02,-0.2,0.16,2.59,0,9.61
680,22.616,-0.02,-0.51,0.16,2.6,0,9.3
681,22.65,-0.05,-1.1,0.16,2.67,0,8.71
682,22.683,-0.1,-1.85,0.16,0,0,7.96
683,22.716,-0.17,-2.67,0.15,0.34,0,7.14
684,22.75,-0.27,-3.33,0.15,0.68,0,6.48
685,22.783,-0.4,-3.35,0.14,1.11,0,6.46
686,22.816,-0.51,-2.57,0.12,1.7,0,7.24
687,22.849,-0.58,-1.5,0.1,2.32,0,8.31
688,22.883,-0.61,-0.77,0.08,2.84,0,9.04
689,22.916,-0.62,-0.53,0.06,3.18,0,9.28
690,22.949,-0.63,-0.6,0.04,3.42,0,9.21
691,22.983,-0.66,-0.63,0.02,3.68,0,9.18
692,23.016,-0.68,-0.34,0,3.95,0,9.47
693,23.049,-0.68,0.03,-0.03,4.19,0,9.84
694,23.083,-0.68,0.3,-0.05,4.39,0,10.11
695,23.116,-0.67,0.62,-0.07,4.55,0,10.43
696,23.149,-0.64,0.87,-0.1,4.66,0,10.68
697,23.183,-0.6,0.77,-0.12,4.8,0,10.58
698,23.216,-0.58,0.53,-0.13,4.86,0,10.34
699,23.249,-0.57,0.47,-0.15,4.85,0,10.28
700,23.282,-0.55,0.5,-0.17,4.86,0,10.31
701,23.316,-0.53,0.45,-0.19,4.83,0,10.26
702,23.349,-0.52,0.39,-0.21,4.63,0,10.2
703,23.382,-0.51,0.3,-0.23,4.3,0,10.11
704,23.416,-0.5,0.11,-0.24,3.96,0,9.92
705,23.449,-0.5,-0.19,-0.26,3.78,0,9.62
706,23.482,-0.51,-0.52,-0.28,3.84,0,9.29
707,23.516,-0.54,-0.67,-0.29,4.01,0,9.14
708,23.549,-0.57,-0.43,-0.31,4.14,0,9.38
709,23.582,-0.57,-0.05,-0.33,4.08,0,9.76
710,23.616,-0.56,0.08,-0.35,3.86,0,9.89
711,23.649,-0.56,0.15,-0.37,3.55,0,9.96
712,23.682,-0.56,0.41,-0.39,3.28,0,10.22
713,23.715,-0.53,0.6,-0.41,3.11,0,10.41
714,23.749,-0.51,0.42,-0.42,2.96,0,10.23
715,23.782,-0.5,0.03,-0.44,2.76,0,9.84
716,23.815,-0.51,-0.28,-0.46,2.38,0,9.53
717,23.849,-0.53,-0.29,-0.47,1.73,0,9.52
718,23.882,-0.54,0.23,-0.49,1.01,0,10.04
719,23.915,-0.52,1.03,-0.51,0.52,0,10.84
720,23.949,-0.46,1.47,-0.53,0.15,0,11.28
721,23.982,-0.41,1.53,-0.54,0.28,0,11.34
722,24.015,-0.37,1.74,-0.55,0.74,0,11.55
723,24.049,-0.3,2.19,-0.57,1.14,0,12
724,24.082,-0.22,2.63,-0.57,1.58,0,12.44
725,24.115,-0.13,3.12,-0.58,1.93,0,12.93
726,24.148,-0.02,3.89,-0.58,2.1,0,13.7
727,24.182,0.13,5,-0.58,2.29,1.92,14.81
728,24.215,0.31,6.23,-0.57,2.64,5.04,16.04
729,24.248,0.55,7.07,-0.56,2.82,9.22,16.88
730,24.282,0.81,6.93,-0.54,2.76,13.5,16.74
731,24.315,1.03,5.68,-0.51,2.61,16.03,15.49
732,24.348,1.19,4,-0.47,2.34,16.44,13.81
733,24.382,1.29,2.81,-0.43,1.88,16.27,12.62
734,24.415,1.36,2.4,-0.38,1.34,16.65,12.21
735,24.448,1.44,2.46,-0.34,0.74,17.66,12.27
736,24.482,1.53,2.38,-0.29,0.22,18.67,12.19
737,24.515,1.61,1.86,-0.23,0.15,18.81,11.67
738,24.548,1.65,1.29,-0.18,0.61,18.35,11.1
739,24.581,1.69,0.83,-0.12,1.24,17.95,10.64
740,24.615,1.72,-0.06,-0.07,2.01,16.76,9.75
741,24.648,1.7,-1.68,-0.01,2.9,13.84,8.13
742,24.681,1.61,-3.7,0.05,3.96,9.84,6.11
743,24.715,1.46,-5.91,0.1,5.1,5.67,3.9
744,24.748,1.22,-8.09,0.15,6.19,2.1,1.72
745,24.781,0.9,-9.38,0.18,7.03,0.39,0.43
746,24.815,0.56,-9.14,0.21,7.79,0.38,0.67
747,24.848,0.27,-7.66,0.22,8.58,0.58,2.15
748,24.881,0.05,-5.63,0.22,9.22,0.21,4.18
749,24.914,-0.1,-3.62,0.22,9.57,0,6.19
750,24.948,-0.19,-1.94,0.22,9.78,0,7.87
751,24.981,-0.22,-0.7,0.21,9.93,0,9.11
752,25.014,-0.23,0.16,0.2,10.24,0,9.97
753,25.048,-0.21,0.85,0.19,10.53,0,10.66
754,25.081,-0.17,1.25,0.19,10.66,0,11.06
755,25.114,-0.11,1,0.18,10.74,0,10.81
756,25.148,-0.09,0.25,0.18,10.9,0,10.06
757,25.181,-0.1,-0.2,0.18,11.16,0,9.61
758,25.214,-0.12,0.01,0.17,11.68,0,9.82
759,25.248,-0.11,0.49,0.17,12.53,0,10.3
760,25.281,-0.08,0.7,0.17,13.52,0,10.51
761,25.314,-0.05,0.54,0.16,14.53,0,10.35
762,25.347,-0.04,0.19,0.16,15.58,0,10
763,25.381,-0.04,-0.23,0.16,16.76,0,9.58
764,25.414,-0.05,-0.78,0.16,17.93,0,9.03
765,25.447,-0.09,-1.44,0.16,18.93,0,8.37
766,25.481,-0.15,-1.88,0.15,19.71,0,7.93
767,25.514,-0.23,-1.75,0.15,20.46,0,8.06
768,25.547,-0.28,-1.28,0.14,21.4,0,8.53
769,25.581,-0.31,-0.94,0.13,22.56,0,8.87
770,25.614,-0.34,-0.59,0.12,23.88,0,9.22
771,25.647,-0.36,0.15,0.11,25.37,0,9.96
772,25.681,-0.33,1.11,0.09,26.93,0,10.92
773,25.714,-0.27,1.63,0.08,28.59,0,11.44
774,25.747,-0.21,1.38,0.08,30.25,0,11.19
775,25.78,-0.17,0.62,0.07,31.89,0,10.43
776,25.814,-0.17,-0.23,0.06,33.51,0,9.58
777,25.847,-0.19,-0.89,0.06,34.97,0,8.92
778,25.88,-0.23,-1.18,0.05,36.01,0,8.63
779,25.914,-0.28,-1,0.04,36.85,0,8.81
780,25.947,-0.31,-0.43,0.03,37.83,0,9.38
781,25.98,-0.31,0.15,0.02,38.83,0,9.96
782,26.014,-0.29,0.27,0.01,39.6,0,10.08
783,26.047,-0.28,-0.14,0,40.22,0,9.67
784,26.08,-0.3,-0.63,-0.01,40.87,0,9.18
785,26.114,-0.33,-0.63,-0.02,41.59,0,9.18
786,26.147,-0.35,0.22,-0.03,42.51,0,10.03
787,26.18,-0.33,1.51,-0.04,43.46,0,11.32
788,26.213,-0.24,2.22,-0.05,43.97,0,12.03
789,26.247,-0.15,1.81,-0.06,44.04,0,11.62
790,26.28,-0.11,0.78,-0.06,44.1,0,10.59
791,26.313,-0.11,-0.23,-0.06,44.15,0,9.58
792,26.347,-0.13,-1.06,-0.07,44,0,8.75
793,26.38,-0.18,-1.64,-0.07,43.82,0,8.17
794,26.413,-0.25,-1.76,-0.08,43.8,0,8.05
795,26.447,-0.31,-1.5,-0.09,43.94,0,8.31
796,26.48,-0.35,-1.13,-0.1,44.05,0,8.68
797,26.513,-0.38,-0.87,-0.11,43.95,0,8.94
798,26.547,-0.4,-0.61,-0.12,43.64,0,9.2
799,26.58,-0.43,-0.05,-0.14,43.21,0,9.76
800,26.613,-0.41,0.75,-0.15,42.84,0,10.56
801,26.646,-0.37,1.33,-0.17,42.59,0,11.14
802,26.68,-0.32,1.72,-0.18,42.33,0,11.53
803,26.713,-0.26,2.31,-0.19,42.05,0,12.12
804,26.746,-0.17,2.83,-0.2,41.85,0,12.64
805,26.78,-0.05,2.5,-0.2,41.81,0,12.31
806,26.813,0.02,1.27,-0.2,41.88,0.23,11.08
807,26.846,0.03,0.17,-0.2,41.96,0.27,9.98
808,26.88,0.01,0.21,-0.2,41.96,0.05,10.02
809,26.913,0.02,1.06,-0.2,41.94,0.23,10.87
810,26.946,0.09,1.35,-0.2,42.01,0.99,11.16
811,26.979,0.14,0.43,-0.19,42.09,1.45,10.24
812,27.013,0.12,-0.67,-0.18,42.13,1.11,9.14
813,27.046,0.07,-0.77,-0.18,42.08,0.63,9.04
814,27.079,0.05,-0.14,-0.18,42.06,0.52,9.67
815,27.113,0.07,0.17,-0.18,42.11,0.71,9.98
816,27.146,0.08,-0.11,-0.18,42.22,0.77,9.7
817,27.179,0.06,-0.51,-0.17,42.29,0.6,9.3
818,27.213,0.04,-0.69,-0.17,42.37,0.36,9.12
819,27.246,0.02,-0.68,-0.17,42.37,0.14,9.13
820,27.279,-0.01,-0.55,-0.17,42.32,0,9.26
821,27.313,-0.03,-0.14,-0.17,42.25,0,9.67
822,27.346,-0.02,0.51,-0.17,42.1,0,10.32
823,27.379,0.01,0.91,-0.17,41.9,0.13,10.72
824,27.412,0.05,0.75,-0.17,41.82,0.54,10.56
825,27.446,0.07,0.42,-0.17,41.74,0.67,10.23
826,27.479,0.07,0.33,-0.17,41.59,0.71,10.14
827,27.512,0.09,0.21,-0.16,41.31,0.87,10.02
828,27.546,0.1,-0.32,-0.16,41.02,0.91,9.49
829,27.579,0.07,-0.91,-0.16,40.8,0.62,8.9
830,27.612,0.02,-0.95,-0.16,40.66,0.19,8.86
831,27.646,-0.01,-0.41,-0.16,40.53,0,9.4
832,27.679,0,0.12,-0.16,40.49,0,9.93
833,27.712,0.01,0.24,-0.16,40.46,0.1,10.05
834,27.746,0.02,0,-0.16,40.33,0.18,9.81
835,27.779,0.01,-0.27,-0.16,40.13,0.1,9.54
836,27.812,-0.01,-0.31,-0.16,40.01,0,9.5
837,27.845,-0.01,-0.23,-0.16,39.9,0,9.58
838,27.879,-0.02,-0.33,-0.16,39.8,0,9.48
839,27.912,-0.03,-0.54,-0.16,39.8,0,9.27
840,27.945,-0.06,-0.51,-0.16,39.88,0,9.3
841,27.979,-0.08,-0.01,-0.16,39.87,0,9.8
842,28.012,-0.06,0.66,-0.16,39.78,0,10.47
843,28.045,-0.02,0.86,-0.17,39.77,0,10.67
844,28.079,0.01,0.38,-0.17,39.87,0.11,10.19
845,28.112,0.01,-0.14,-0.16,39.88,0.05,9.67
846,28.145,-0.01,-0.08,-0.16,39.73,0,9.73
847,28.179,-0.01,0.31,-0.17,39.6,0,10.12
848,28.212,0.02,0.39,-0.17,39.45,0.18,10.2
849,28.245,0.03,0.15,-0.16,39.17,0.25,9.96
