Time (s),L_Position_X,R_Position_X,L_Position_Z,R_Position_Z,Reps,Status,Summary
2.00004,0.226722879,0.224669907,0.074348723,0.067518731,0,0,
2.033374,0.226162718,0.222633549,0.079002028,0.072546778,0,0,
2.066708,0.22440711,0.217801821,0.083962905,0.077434906,0,0,
2.100042,0.2201306,0.208646939,0.089472383,0.082310241,0,0,
2.133376,0.212170028,0.195039867,0.09548365,0.087230268,0,0,
2.16671,0.201229562,0.179745421,0.101621915,0.09215431,0,0,
2.200044,0.191075209,0.167865902,0.107286518,0.096942649,0,0,
2.233378,0.186865431,0.163547055,0.111851516,0.101387465,0,0,
2.266712,0.191075209,0.16684829,0.114872079,0.105263003,0,0,
2.300046,0.201229562,0.17442306,0.116207326,0.108373808,0,0,
2.33338,0.212170028,0.183098937,0.116016367,0.11058499,0,0,
2.366714,0.2201306,0.191827289,0.114648303,0.111831231,0,0,
2.400048,0.22440711,0.200404501,0.11249344,0.112111256,0,0,
2.433382,0.226162718,0.207907218,0.109866578,0.111477187,0,0,
2.466716,0.226722879,0.213166991,0.106960985,0.110026501,0,0,
2.50005,0.226863127,0.21609432,0.103869875,0.107898778,0,0,
2.533384,0.226890843,0.217802388,0.100641442,0.105268944,0,0,
2.566718,0.226895184,0.219473124,0.097325887,0.102323745,0,0,
2.600052,0.226895724,0.221423232,0.093988839,0.09922038,0,0,
2.633386,0.226895777,0.223248618,0.090690007,0.096044881,0,0,
2.66672,0.226895782,0.224529396,0.087443091,0.092792994,0,0,
2.700054,0.226895783,0.225215066,0.08418082,0.089384968,0,0,
2.733388,0.226895793,0.225522478,0.080750351,0.085709348,0,0,
2.766722,0.226895877,0.225728389,0.076953044,0.081676954,0,0,
2.800056,0.226896413,0.226118849,0.072617023,0.077259534,0,0,
2.83339,0.226899124,0.227024481,0.067667369,0.072495888,0,0,
2.866724,0.226909966,0.228724287,0.062158119,0.067468113,0,0,
2.900058,0.226944072,0.231149061,0.056251579,0.062265555,0,0,
2.933392,0.227028177,0.233703502,0.050155688,0.056955015,0,0,
2.966726,0.227191406,0.235647396,0.044048807,0.051566473,0,0,
3.00006,0.227450479,0.236795676,0.038026296,0.046092401,0,0,
3.033394,0.227837482,0.237592846,0.032084177,0.040494093,0,0,
3.066728,0.228518748,0.238316781,0.02612826,0.034711707,0,0,
3.100062,0.229906734,0.238545396,0.019995578,0.02867857,0,0,
3.133396,0.232471645,0.237762945,0.013490543,0.02234001,0,0,
3.16673,0.236122999,0.236287395,0.006436874,0.015672111,0,0,
3.200064,0.239700578,0.235191532,-0.001270611,0.008689916,0,0,
3.233398,0.241447664,0.235220314,-0.009636389,0.001437077,0,0,
3.266732,0.240379845,0.235935855,-0.018565832,-0.00603794,0,0,
3.300066,0.23717004,0.236088155,-0.027889866,-0.013703661,0,0,
3.3334,0.23358222,0.234881791,-0.037401762,-0.02155329,0,0,
3.366734,0.231184376,0.232784596,-0.046904576,-0.02959737,0,0,
3.400068,0.230583812,0.231068015,-0.056267419,-0.037848431,0,0,
3.433402,0.231413094,0.230701875,-0.065471807,-0.046305293,0,0,
3.466736,0.232658602,0.231656176,-0.074618399,-0.054941995,0,0,
3.50007,0.233206761,0.23297383,-0.083879082,-0.063704821,0,0,
3.533404,0.232517229,0.233447216,-0.093410814,-0.07251916,0,0,
3.566738,0.23091944,0.232487748,-0.103271358,-0.081302853,0,0,
3.600072,0.229204484,0.230508756,-0.113376921,-0.089976088,0,0,
3.633406,0.227961424,0.228466312,-0.123518109,-0.098457869,0,0,
3.66674,0.227314613,0.227093336,-0.133417898,-0.106652976,0,0,
3.700074,0.227132886,0.226586232,-0.142797289,-0.114449698,0,0,
3.733408,0.22733782,0.226815673,-0.151422334,-0.121742446,0,0,
3.766742,0.228028875,0.227622645,-0.159125162,-0.128465689,0,0,
3.800076,0.229351819,0.228890709,-0.16580181,-0.134609517,0,0,
3.83341,0.231175271,0.230389425,-0.17139524,-0.14020241,0,0,
3.866744,0.232868248,0.231612508,-0.175879598,-0.145276035,0,0,
3.900078,0.233570147,0.231934515,-0.179258174,-0.149838851,0,0,
3.933412,0.232868239,0.231092055,-0.181570173,-0.153872724,0,0,
3.966746,0.231175177,0.229470875,-0.182893056,-0.157349618,0,0,
4.00008,0.229351045,0.227802704,-0.183334984,-0.160256053,0,0,
4.033414,0.228023759,0.226608645,-0.183018478,-0.162608623,0,0,
4.066748,0.227310739,0.225971611,-0.182057541,-0.164448819,0,0,
4.100082,0.227018154,0.225710964,-0.180534619,-0.165819853,0,0,
4.133416,0.226925823,0.225628311,-0.17848754,-0.166738417,0,0,
4.16675,0.226909247,0.225610105,-0.175912427,-0.167174667,0,0,
4.200084,0.226939073,0.225619028,-0.172779925,-0.167049,0,0,
4.233418,0.227075933,0.225670419,-0.169056371,-0.166246438,0,0,
4.266752,0.227507047,0.225833418,-0.164722294,-0.164642769,0,0,
4.300086,0.228557415,0.226230657,-0.159786731,-0.162138113,0,0,
4.33342,0.230512653,0.226970118,-0.154302512,-0.158696353,0,0,
4.366754,0.233199799,0.227986384,-0.14838588,-0.154380883,0,0,
4.400088,0.235693863,0.228929645,-0.142227202,-0.149364254,0,0,
4.433422,0.236727849,0.22932089,-0.136062447,-0.143889311,0,0,
4.466756,0.235693863,0.228931422,-0.130085817,-0.138181619,0,0,
4.50009,0.233199797,0.227998268,-0.124326608,-0.132345942,0,0,
4.533424,0.230512633,0.227033054,-0.118552316,-0.126295956,0,0,
4.566758,0.228557214,0.22649749,-0.112256981,-0.119751712,0,0,
4.600092,0.227505389,0.226739279,-0.104752685,-0.1123071,0,0,
4.633426,0.227064932,0.228132838,-0.095336672,-0.103541085,0,0,
4.66676,0.226880529,0.230978431,-0.083478391,-0.093130762,0,0,
4.700094,0.226659081,0.234947703,-0.068962562,-0.080923743,0,0,
4.733428,0.226066193,0.238641285,-0.051935583,-0.0669437,0,0,
4.766762,0.224637486,0.240173229,-0.032836074,-0.051333498,0,0,
4.800096,0.221979849,0.238640832,-0.012241758,-0.034272966,0,0,
4.83343,0.218327544,0.234944675,0.009295283,-0.015918791,0,0,
4.866764,0.214937682,0.230962423,0.031358011,0.0036106,0,0,
4.900098,0.213532318,0.228065186,0.053691665,0.024213566,0,0,
4.933432,0.214937682,0.226511035,0.07616018,0.045763122,0,0,
4.966766,0.218327543,0.225884579,0.098662141,0.068055191,0,0,
5.0001,0.221979835,0.225730929,0.121038365,0.090758315,0,0,
5.033434,0.224637339,0.225837361,0.142992703,0.113376019,0,0,
5.066768,0.22606498,0.226210883,0.164040396,0.135231288,0,0,
5.100102,0.22665106,0.226923382,0.18350839,0.155489323,0,0,
5.133436,0.226838061,0.227904567,0.200615976,0.173245647,0,0,
5.16677,0.22688488,0.228815413,0.214629915,0.187691044,0,0,
5.200104,0.226894133,0.229193037,0.225039828,0.198310404,0,0,
5.233438,0.226895582,0.228815411,0.23168605,0.205027113,0,0,
5.266772,0.226895762,0.227904546,0.23479471,0.20822087,0,0,
5.300106,0.22689578,0.226923165,0.234911313,0.208611098,0,0,
