Time (s),L_Position_X,R_Position_X,L_Position_Z,R_Position_Z,Reps,Status,Summary
4.933432,0.237009966,0.237292438,0.246654559,0.235678895,0,0,
4.966766,0.236713363,0.231056795,0.245661112,0.237492726,0,0,
5.0001,0.236023265,0.22667337,0.240131236,0.235232441,0,0,
5.033434,0.235789134,0.232699289,0.231580703,0.230142294,0,0,
5.066768,0.236439811,0.246407769,0.221562212,0.22345868,0,0,
5.100102,0.237596749,0.250089964,0.211313819,0.216138327,0,0,
5.133436,0.23843037,0.240675612,0.20152069,0.208679028,0,0,
5.16677,0.238377006,0.239045192,0.192260207,0.201095068,0,0,
5.200104,0.23749674,0.245754781,0.183132391,0.193048249,0,0,
5.233438,0.23623304,0.238964221,0.173515895,0.184071384,0,0,
5.266772,0.235015095,0.229315452,0.16284573,0.173784885,0,0,
5.300106,0.234110097,0.238979347,0.1508087,0.162025045,0,0,
5.33344,0.233662155,0.248258308,0.137401194,0.14886074,0,0,
5.366774,0.233744775,0.239703267,0.122864124,0.134530964,0,0,
5.400108,0.234391537,0.234874242,0.107558591,0.119355771,0,0,
5.433442,0.235552937,0.243384517,0.091848889,0.103661504,0,0,
5.466776,0.236948615,0.246303396,0.07602945,0.087738354,0,0,
5.50011,0.238006013,0.237916218,0.060298149,0.071824387,0,0,
5.533444,0.23813737,0.231864188,0.044760589,0.056097171,0,0,
5.566778,0.237237925,0.234526092,0.029452765,0.040664456,0,0,
5.600112,0.23590978,0.239810704,0.014379431,0.02556666,0,0,
5.633446,0.235122021,0.241741211,-0.000436922,0.010808365,0,0,
5.66678,0.235568828,0.240058916,-0.014916809,-0.00358854,0,0,
5.700114,0.237175025,0.237201439,-0.028919626,-0.01754646,0,0,
5.733448,0.239048774,0.234959332,-0.042281641,-0.030941181,0,0,
5.766782,0.240023017,0.233747863,-0.054874835,-0.043654589,0,0,
5.800116,0.239516579,0.233267328,-0.066648941,-0.055632744,0,0,
5.83345,0.237959813,0.233168759,-0.07762951,-0.066906822,0,0,
5.866784,0.236364147,0.233310253,-0.08787874,-0.077563171,0,0,
5.900118,0.235528755,0.233736555,-0.097451815,-0.087686259,0,0,
5.933452,0.235584665,0.234540825,-0.106374997,-0.097312369,0,0,
5.966786,0.23605134,0.23573733,-0.114647864,-0.106416814,0,0,
6.00012,0.236262972,0.237428604,-0.122256045,-0.11493368,1,0,
6.033454,0.235917313,0.240332518,-0.129179955,-0.122791268,1,0,
6.066788,0.23528923,0.245470606,-0.135396909,-0.12994293,1,0,
6.100122,0.234805176,0.251433432,-0.140886579,-0.136381445,1,0,
6.133456,0.234449183,0.25221769,-0.145643506,-0.142134854,1,0,
6.16679,0.234065473,0.243319738,-0.149678635,-0.147241506,1,0,
6.200124,0.2347505,0.232333298,-0.152987553,-0.151702921,1,0,
6.233458,0.238860932,0.232831333,-0.155489979,-0.155426727,1,0,
6.266792,0.245520537,0.242190714,-0.156971833,-0.158180979,1,0,
6.300126,0.246471024,0.243328948,-0.157053819,-0.159568255,1,0,
6.33346,0.235732227,0.234892989,-0.155181233,-0.159011464,1,0,
6.366794,0.226916252,0.233878902,-0.150628094,-0.155756662,1,0,
6.400128,0.238799309,0.243994658,-0.14254592,-0.148931005,1,0,
6.433462,0.254956939,0.250165671,-0.130101032,-0.137691316,1,0,
6.466796,0.24495794,0.244759979,-0.112693544,-0.121440769,1,0,
6.50013,0.22864449,0.235656967,-0.090184914,-0.100031835,1,0,
6.533464,0.237114441,0.230926054,-0.063039753,-0.073870595,1,0,
6.566798,0.245771687,0.23068192,-0.032317075,-0.043886198,1,0,
6.600132,0.239113528,0.231812618,0.000492395,-0.011389047,1,0,
6.633466,0.239224824,0.232614394,0.033715548,0.022117595,1,0,
6.6668,0.239319826,0.232938559,0.065729177,0.055104222,1,0,
6.700134,0.231539521,0.233053484,0.095104337,0.086126518,1,0,
6.733468,0.228510133,0.233175539,0.120661522,0.113890544,1,0,
6.766802,0.224795201,0.233502313,0.141480568,0.137302198,1,0,
6.800136,0.227985418,0.234293735,0.156915899,0.155530701,1,0,
6.83347,0.246075812,0.23577811,0.16664747,0.168095395,1,0,
6.866804,0.248316552,0.237857574,0.170756594,0.174952494,1,0,
6.900138,0.231148824,0.239893782,0.169776262,0.176536619,1,0,
6.933472,0.231427391,0.240986627,0.164658148,0.173716946,1,0,
6.966806,0.249981032,0.240656724,0.156628794,0.167655176,1,0,
7.00014,0.256419262,0.239222846,0.146958013,0.159587211,1,0,
7.033474,0.246309543,0.237477977,0.136705495,0.150578667,1,0,
7.066808,0.23764475,0.236146946,0.126523728,0.141320308,1,0,
7.100142,0.237323137,0.235685669,0.116579378,0.132030276,1,0,
7.133476,0.238174962,0.236292412,0.106625813,0.12250568,1,0,
7.16681,0.235981671,0.237778468,0.09620982,0.112310431,1,0,
7.200144,0.235246877,0.239447791,0.084929484,0.101020863,1,0,
7.233478,0.239866037,0.240420706,0.072630321,0.088424013,1,0,
7.266812,0.245991694,0.240295898,0.059471248,0.074600783,1,0,
7.300146,0.247230205,0.239406027,0.045866702,0.059892231,1,0,
7.33348,0.24269126,0.238325953,0.032350059,0.044789158,1,0,
7.366814,0.236625495,0.237294755,0.019406412,0.029794293,1,0,
7.400148,0.232727723,0.236240162,0.007325706,0.01530349,1,0,
7.433482,0.231441926,0.235155291,-0.00386685,0.001542642,1,0,
7.466816,0.231451259,0.234213342,-0.014365286,-0.011426597,1,0,
7.50015,0.231668129,0.233573519,-0.024442128,-0.023651692,1,0,
7.533484,0.231754189,0.233237915,-0.034294147,-0.035224499,1,0,
7.566818,0.231752082,0.233101343,-0.043964102,-0.046238383,1,0,
7.600152,0.231749892,0.233057918,-0.053368316,-0.056770664,1,0,
7.633486,0.231813932,0.233047119,-0.06238516,-0.066872987,1,0,
7.66682,0.232047058,0.233045368,-0.070932891,-0.076556877,1,0,
7.700154,0.23262341,0.233047039,-0.078998059,-0.085785123,1,0,
7.733488,0.233697805,0.233055129,-0.086623569,-0.094489903,1,0,
7.766822,0.235174579,0.233081368,-0.093883495,-0.102616994,1,0,
7.800156,0.236545265,0.233149282,-0.100857366,-0.110166622,1,0,
7.83349,0.23711359,0.233292752,-0.107599546,-0.117198194,1,0,
7.866824,0.23654589,0.233549474,-0.114105581,-0.123791826,1,0,
7.900158,0.235178759,0.233961742,-0.120297525,-0.129993841,1,0,
7.933492,0.23371993,0.234587292,-0.126047966,-0.135786705,1,0,
7.966826,0.232717135,0.235483222,-0.131231632,-0.141103166,1,0,
8.00016,0.232364775,0.236631687,-0.135772906,-0.145870685,1,0,
8.033494,0.23267564,0.237872475,-0.139666318,-0.150054533,1,0,
8.066828,0.233619822,0.238958181,-0.142963285,-0.153670708,1,0,
8.100162,0.235002427,0.239708746,-0.145727604,-0.1567548,1,0,
8.133496,0.236299517,0.240068261,-0.147968613,-0.159293145,1,0,
8.16683,0.236838238,0.239979152,-0.149565338,-0.161139965,1,0,
8.200164,0.236298972,0.239315722,-0.150198055,-0.161949792,1,0,
8.233498,0.234998969,0.238102941,-0.149306624,-0.161145467,1,0,
8.266832,0.233602762,0.236783285,-0.146092096,-0.157928014,1,0,
8.300166,0.232609938,0.236105248,-0.139574467,-0.151334268,2,0,
8.3335,0.232169817,0.236557134,-0.128724152,-0.140359775,2,0,
8.366834,0.232282534,0.237672137,-0.112676255,-0.124158371,2,0,
8.400168,0.233033191,0.237975148,-0.090989534,-0.102286575,2,0,
8.433502,0.234546163,0.236405167,-0.063855992,-0.074907671,2,0,
8.466836,0.236646946,0.234176889,-0.032163764,-0.04286038,2,0,
8.50017,0.238601598,0.234018145,0.002616013,-0.007555968,2,0,
8.533504,0.239423414,0.236658231,0.038659048,0.029243226,2,0,
8.566838,0.238662978,0.239481714,0.074038173,0.065666106,2,0,
8.600172,0.236864203,0.23972731,0.106929147,0.099926685,2,0,
8.633506,0.235135098,0.237550841,0.135759368,0.130456182,2,0,
8.66684,0.234300307,0.235021201,0.159316698,0.155995101,2,0,
8.700174,0.234427185,0.233528884,0.176834353,0.175673887,2,0,
8.733508,0.234946251,0.233085194,0.188048644,0.189091906,2,0,
8.766842,0.235135283,0.233225041,0.193214386,0.196370516,2,0,
8.800176,0.234675699,0.233733676,0.193066937,0.19813996,2,0,
8.83351,0.233955116,0.234654778,0.18872278,0.195438314,2,0,
8.866844,0.233842027,0.235966447,0.181509801,0.189531222,2,0,
8.900178,0.234963765,0.237342449,0.172732909,0.181681316,2,0,
8.933512,0.236978158,0.238254165,0.163415691,0.172910073,2,0,
8.966846,0.238614687,0.238393094,0.154098884,0.163810746,2,0,
9.00018,0.238706496,0.238051305,0.144788473,0.154479413,2,0,
9.033514,0.237219606,0.238074254,0.135092084,0.144606626,2,0,
9.066848,0.235138522,0.239308807,0.124480715,0.133705198,2,0,
9.100182,0.233484156,0.241814156,0.112550252,0.121378556,2,0,
9.133516,0.232640522,0.244455241,0.099181622,0.107516444,2,0,
9.16685,0.232435742,0.24552902,0.084566046,0.092352455,2,0,
9.200184,0.232523301,0.244145091,0.069118176,0.076388192,2,0,
9.233518,0.232648439,0.240986966,0.053334636,0.060238073,2,0,
9.266852,0.232759237,0.2376223,0.037667052,0.044465248,2,0,
9.300186,0.232999818,0.235247826,0.022457241,0.029468172,2,0,
9.33352,0.233575637,0.234196694,0.007935994,0.015443187,2,0,
9.366854,0.234545336,0.234313115,-0.005752169,0.002407708,2,0,
9.400188,0.235679407,0.235368531,-0.01853777,-0.009748601,2,0,
9.433522,0.236521847,0.237024085,-0.030433161,-0.021205811,2,0,
9.466856,0.236685229,0.238636673,-0.041529459,-0.032156034,2,0,
9.50019,0.236189702,0.239464569,-0.051963678,-0.042752544,2,0,
9.533524,0.235494532,0.239257917,-0.061870476,-0.053075673,2,0,
9.566858,0.235106616,0.238520244,-0.071349804,-0.063124153,2,0,
9.600192,0.235152903,0.237989351,-0.080463614,-0.072834675,2,0,
9.633526,0.235395566,0.237913068,-0.089246658,-0.082120792,2,0,
9.66686,0.235642683,0.238010025,-0.097710081,-0.090910061,2,0,
9.700194,0.236041719,0.238089111,-0.105832858,-0.099159607,2,0,
9.733528,0.236908131,0.238417492,-0.113552033,-0.106846352,2,0,
9.766862,0.238253764,0.239293338,-0.120763768,-0.113944536,2,0,
9.800196,0.239502096,0.240418911,-0.127339923,-0.120410111,2,0,
9.83353,0.239794848,0.241036999,-0.133157956,-0.126186263,2,0,
9.866864,0.238747303,0.240792344,-0.138131684,-0.131225763,2,0,
9.900198,0.236920773,0.240201911,-0.142222076,-0.135506857,2,0,
9.933532,0.235517818,0.2400386,-0.145415102,-0.13901963,2,0,
9.966866,0.235637433,0.240377322,-0.147668389,-0.141717078,2,0,
10.0002,0.237609992,0.240497909,-0.148832815,-0.143440408,2,0,
10.033534,0.240567244,0.239677882,-0.148557608,-0.143834544,2,0,
10.066868,0.242606213,0.237844243,-0.146204518,-0.142280385,2,0,
10.100202,0.242032801,0.235521069,-0.140827323,-0.137891111,2,0,
10.133536,0.238898578,0.233547142,-0.131287003,-0.129624149,2,0,
10.16687,0.23502411,0.232930624,-0.116528412,-0.116517499,2,0,
10.200204,0.232373187,0.234294211,-0.095944693,-0.097985408,3,0,
10.233538,0.231949062,0.23657527,-0.069671836,-0.074055787,3,0,
10.266872,0.234539687,0.236682779,-0.038666303,-0.045443335,3,0,
10.300206,0.241350092,0.232801165,-0.00453206,-0.013433652,3,0,
10.33354,0.2511404,0.228958695,0.030802717,0.020347446,3,0,
10.366874,0.255811226,0.231771011,0.065407852,0.0541684,3,0,
10.400208,0.245917826,0.239386288,0.097573982,0.086364422,3,0,
