PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
1, 2393300685, -171.71337890625, -54.44260025024414, 125.62512969970703, -0.070215255, 0.08552455, -0.035139084, 0.16543881595134735, 0.31657078862190247, 0.5119487047195435
2, 2393350686, -171.72315979003906, -54.49504089355469, 125.63642883300781, -0.018114608, 0.052601203, -0.086131096, 0.29977741837501526, 1.3225479125976562, 0.2498112916946411
3, 2393400687, -171.73362731933594, -54.50032043457031, 125.65668487548828, -0.07342803, 0.052184686, -0.042998314, 0.19783887267112732, 0.3981301486492157, 0.44809627532958984
4, 2393450688, -171.73883056640625, -54.53350830078125, 125.66207122802734, -0.029035898, 0.037002012, -0.10028362, 0.270600289106369, 0.9536268711090088, 0.3908604383468628
5, 2393500689, -171.73712158203125, -54.586273193359375, 125.65663146972656, 0.00591907, 0.040819835, -0.12080288, 0.27140286564826965, 1.3554645776748657, 0.4321097135543823
6, 2393550690, -171.7737274169922, -54.55815887451172, 125.68203735351562, -0.05594708, 0.06686871, -0.047179222, -0.047477398067712784, -0.2904137969017029, 0.3489196300506592
7, 2393600691, -171.78619384765625, -54.5633430480957, 125.69062042236328, -0.033572093, 0.05853983, -0.09034538, 0.09283960610628128, 0.4027916193008423, 0.493622750043869
8, 2393650692, -171.77523803710938, -54.5739860534668, 125.67837524414062, -0.042660575, 0.061424937, -0.09098339, 0.38520002365112305, 0.52866530418396, 0.6023401618003845
9, 2393700693, -171.7650604248047, -54.6092414855957, 125.68030548095703, -0.03704414, 0.071054436, -0.080506325, 0.4303659200668335, 1.0105235576629639, 0.4893989562988281
10, 2393750694, -171.74131774902344, -54.64316177368164, 125.6563949584961, -0.037649862, 0.056073476, -0.047200203, 0.44176575541496277, 1.009979248046875, 0.6758402585983276
11, 2393800695, -171.72373962402344, -54.65946578979492, 125.66064453125, -0.021759657, 0.07890477, -0.0987587, 0.36270782351493835, 0.6579880714416504, 0.6943026781082153
12, 2393850696, -171.7179412841797, -54.647499084472656, 125.64854431152344, -0.061662532, 0.07912951, -0.066441536, 0.12424080818891525, 0.09808170050382614, 0.778419017791748
13, 2393900697, -171.71336364746094, -54.63273239135742, 125.64379119873047, -0.059481043, 0.059691146, -0.05772972, 0.13038784265518188, 0.03965059295296669, 0.7643917798995972
14, 2393950698, -171.69326782226562, -54.66233825683594, 125.63224792480469, -0.045459405, 0.06959434, -0.03875637, 0.4189319908618927, 0.9203220009803772, 0.6519349813461304
15, 2394000699, -171.6577606201172, -54.73884582519531, 125.61961364746094, -0.056660756, 0.043991707, -0.07536411, 0.8135766386985779, 1.8388357162475586, 0.4557630121707916
16, 2394050700, -171.61181640625, -54.85698699951172, 125.59986114501953, -0.0044901515, 0.05290898, -0.06917572, 0.8931300044059753, 2.6763079166412354, 0.42259472608566284
17, 2394100701, -171.56715393066406, -54.944580078125, 125.57064056396484, -0.037670873, 0.053490896, -0.07267189, 0.6662482619285583, 2.0924489498138428, 0.6494677066802979
