Frame ordinal,Time (s),velocity,acceleration (m/s^2),bar_height,horizontal_displacement,power (kW),force (kN)
1,0.066,0,-0.01,0,0,0,9.8
2,0.1,0,-0.01,0,0,0,9.8
3,0.133,0,-0.01,0,0,0,9.8
4,0.166,0,-0.01,0,0.01,0,9.8
5,0.2,0,-0.02,0,0,0,9.79
6,0.233,0,-0.02,0,0,0,9.79
7,0.266,0,-0.02,0,0.01,0,9.79
8,0.3,0,0,0,0.02,0,9.81
9,0.333,0,0.01,0,0.03,0,9.82
10,0.366,0,0.01,0,0.02,0,9.82
11,0.4,0,0,0,0.03,0,9.81
12,0.433,0,0,0,0.04,0,9.81
13,0.466,0,0.02,0,0.04,0,9.83
14,0.5,0,0.03,0,0.04,0,9.84
15,0.533,0,0,0,0.04,0,9.81
16,0.566,0,-0.03,0,0.05,0,9.78
17,0.6,0,0,0,0.05,0,9.81
18,0.633,0,0.07,0,0.06,0,9.88
19,0.666,0,0.08,0,0.11,0.02,9.89
20,0.7,0,0.03,0,0.17,0.04,9.84
21,0.733,0,0.05,0,0.19,0.02,9.86
22,0.766,0,0.11,0,0.18,0.05,9.92
23,0.8,0.01,0.01,0,0.2,0.13,9.82
24,0.833,0.01,-0.21,0,0.18,0.09,9.6
25,0.866,-0.01,-0.26,0,0.16,0,9.55
26,0.9,-0.01,-0.06,0,0.18,0,9.75
27,0.933,-0.01,0.13,0,0.19,0,9.94
28,0.966,0,0.17,0,0.17,0,9.98
29,1,0,0.12,0,0.17,0.04,9.93
30,1.033,0.01,-0.01,0,0.17,0.08,9.8
31,1.066,0,-0.16,0,0.12,0.05,9.65
32,1.1,-0.01,-0.17,0,0.07,0,9.64
33,1.133,-0.01,0,0,0.02,0,9.81
34,1.166,-0.01,0.15,0,0.04,0,9.96
35,1.2,0,0.12,0,0.13,0.03,9.93
36,1.233,0,0.01,0,0.17,0.05,9.82
37,1.266,0,-0.05,0,0.11,0.02,9.76
38,1.3,0,-0.02,0,0.04,0,9.79
39,1.333,0,0.05,0,0.04,0,9.86
40,1.366,0,0.13,0,0.12,0.03,9.94
41,1.4,0.01,0.17,0,0.17,0.09,9.98
42,1.433,0.02,0.07,0,0.18,0.17,9.88
43,1.466,0.02,-0.17,0,0.26,0.17,9.64
44,1.5,0.01,-0.36,0,0.4,0.05,9.45
45,1.533,-0.01,-0.29,0,0.49,0,9.52
46,1.566,-0.02,0.02,0,0.58,0,9.83
47,1.6,-0.01,0.29,0,0.69,0,10.1
48,1.633,0.01,0.28,0,0.81,0.07,10.09
49,1.666,0.01,0.05,0,0.92,0.13,9.86
50,1.7,0.01,-0.11,0,1.01,0.08,9.7
51,1.733,0,-0.12,0,1.09,0.02,9.69
52,1.766,0,-0.09,0,1.26,0,9.72
53,1.8,0,-0.12,0,1.5,0,9.69
54,1.833,-0.01,-0.13,0,1.74,0,9.68
55,1.866,-0.01,-0.05,0,2.06,0,9.76
56,1.9,-0.01,0.1,0,2.46,0,9.91
57,1.933,-0.01,0.25,0,2.92,0,10.06
58,1.966,0.01,0.29,0,3.43,0.05,10.1
59,2,0.02,0.16,0,3.98,0.17,9.97
60,2.033,0.02,-0.04,0,4.61,0.18,9.77
61,2.066,0.01,-0.09,0,5.4,0.1,9.72
62,2.1,0.01,0.09,0,6.25,0.07,9.9
63,2.133,0.02,0.43,0,7.09,0.15,10.24
64,2.166,0.03,0.87,0,7.82,0.36,10.68
65,2.2,0.07,1.38,0,8.37,0.8,11.19
66,2.233,0.13,1.71,0.01,0,1.48,11.52
67,2.266,0.19,1.62,0.01,0.37,2.2,11.43
68,2.3,0.25,1.12,0.02,0.56,2.69,10.93
69,2.333,0.27,0.64,0.03,0.57,2.82,10.45
70,2.366,0.27,0.8,0.04,0.57,2.91,10.61
71,2.4,0.31,1.61,0.05,0.54,3.5,11.42
72,2.433,0.39,2.23,0.06,0.5,4.66,12.04
73,2.466,0.47,2.16,0.07,0.54,5.65,11.97
74,2.5,0.53,1.8,0.09,0.63,6.21,11.61
75,2.533,0.59,1.55,0.11,0.54,6.67,11.36
76,2.566,0.64,1.33,0.13,0.38,7.08,11.14
77,2.6,0.68,0.88,0.15,0.29,7.28,10.69
