Frame ordinal,Time (s),velocity,acceleration (m/s^2),bar_height,horizontal_displacement,power (kW),force (kN)
78,2.633,0.7,0.25,0.17,0.37,7.07,10.06
79,2.666,0.69,0,0.2,0.51,6.76,9.81
80,2.7,0.69,0.24,0.22,0.64,6.9,10.05
81,2.733,0.71,0.38,0.24,0.72,7.26,10.19
82,2.766,0.72,0.31,0.27,0.7,7.3,10.12
83,2.8,0.72,0.55,0.29,0.69,7.47,10.36
84,2.833,0.75,0.99,0.31,0.74,8.12,10.8
85,2.866,0.8,1.03,0.34,0.92,8.66,10.84
86,2.9,0.83,0.58,0.37,1.15,8.62,10.39
87,2.933,0.84,-0.13,0.4,1.36,8.14,9.68
88,2.966,0.82,-0.96,0.42,1.57,7.3,8.85
89,3,0.77,-1.62,0.45,1.91,6.34,8.19
90,3.033,0.7,-1.63,0.48,2.27,5.76,8.18
91,3.066,0.65,-1.01,0.5,2.6,5.73,8.8
92,3.1,0.64,-0.63,0.52,2.93,5.88,9.18
93,3.133,0.63,-1.15,0.54,3.41,5.47,8.66
94,3.166,0.57,-2.07,0.56,4.04,4.44,7.74
95,3.2,0.48,-2.33,0.58,4.59,3.56,7.48
96,3.233,0.4,-1.78,0.59,4.81,3.2,8.03
97,3.266,0.36,-1.15,0.61,4.91,3.11,8.66
98,3.3,0.33,-0.83,0.62,5.04,2.98,8.98
99,3.333,0.3,-0.65,0.63,5.2,2.78,9.16
100,3.366,0.29,-0.57,0.64,5.29,2.66,9.24
101,3.4,0.27,-0.85,0.65,5.31,2.46,8.96
102,3.433,0.24,-1.38,0.66,5.3,2.01,8.43
103,3.466,0.18,-1.62,0.66,5.38,1.45,8.19
104,3.5,0.12,-1.2,0.67,5.6,0.99,8.61
105,3.533,0.09,-0.36,0.67,5.85,0.82,9.45
106,3.566,0.1,0.14,0.67,6.11,0.98,9.95
107,3.6,0.11,-0.15,0.68,6.39,1.11,9.66
108,3.633,0.1,-0.75,0.68,6.68,0.87,9.06
109,3.666,0.05,-0.94,0.68,6.82,0.47,8.87
110,3.7,0.02,-0.72,0.68,6.78,0.22,9.09
111,3.733,0.01,-0.52,0.68,6.71,0.08,9.29
112,3.766,-0.01,-0.44,0.69,6.73,0,9.37
113,3.8,-0.02,-0.44,0.68,6.81,0,9.37
114,3.833,-0.03,-0.58,0.68,6.88,0,9.23
115,3.866,-0.06,-0.89,0.68,6.98,0,8.92
116,3.9,-0.09,-1.19,0.68,0,0,8.62
117,3.933,-0.14,-1.26,0.68,0.05,0,8.55
118,3.966,-0.18,-1.24,0.67,0.06,0,8.57
119,4,-0.22,-1.47,0.66,0.08,0,8.34
120,4.033,-0.27,-1.78,0.66,0.16,0,8.03
121,4.066,-0.35,-1.56,0.65,0.2,0,8.25
122,4.1,-0.39,-0.66,0.63,0.25,0,9.15
123,4.133,-0.39,0.18,0.62,0.44,0,9.99
124,4.166,-0.37,0.39,0.61,0.6,0,10.2
125,4.2,-0.36,0.27,0.59,0.6,0,10.08
126,4.233,-0.35,0.26,0.58,0.62,0,10.07
127,4.266,-0.34,0.28,0.57,0.61,0,10.09
128,4.3,-0.33,0.03,0.56,0.42,0,9.84
129,4.333,-0.33,-0.43,0.55,0.15,0,9.38
130,4.366,-0.36,-0.71,0.54,0.27,0,9.1
131,4.4,-0.39,-0.48,0.53,1.07,0,9.33
132,4.433,-0.4,-0.03,0.51,1.93,0,9.78
133,4.466,-0.38,0.1,0.5,2.58,0,9.91
134,4.5,-0.38,-0.04,0.49,3.17,0,9.77
135,4.533,-0.4,0.01,0.47,3.8,0,9.82
136,4.566,-0.39,0.2,0.46,4.31,0,10.01
137,4.6,-0.38,0.22,0.45,4.7,0,10.03
138,4.633,-0.37,0.14,0.43,5.15,0,9.95
139,4.666,-0.37,0.06,0.42,5.5,0,9.87
140,4.7,-0.37,0.03,0.41,5.97,0,9.84
141,4.733,-0.37,0.12,0.4,6.46,0,9.93
142,4.766,-0.36,0.3,0.39,6.8,0,10.11
143,4.8,-0.35,0.34,0.37,6.97,0,10.15
144,4.833,-0.34,0.31,0.36,7.28,0,10.12
145,4.866,-0.33,0.46,0.35,7.58,0,10.27
146,4.9,-0.31,0.78,0.34,7.83,0,10.59
147,4.933,-0.28,0.99,0.33,8.09,0,10.8
148,4.966,-0.24,0.96,0.32,8.26,0,10.77
149,5,-0.21,0.87,0.31,8.33,0,10.68
150,5.033,-0.18,0.95,0.31,8.34,0,10.76
151,5.066,-0.15,1.22,0.3,8.33,0,11.03
152,5.1,-0.1,1.46,0.3,8.25,0,11.27
153,5.133,-0.05,1.44,0.3,8.2,0,11.25
154,5.166,0,1.34,0.29,8.16,0,11.15
155,5.2,0.03,1.53,0.3,8.11,0.39,11.34
156,5.233,0.09,1.92,0.3,8.03,1.09,11.73
157,5.266,0.17,2.14,0.3,7.92,1.99,11.95
158,5.3,0.24,2.07,0.31,7.73,2.87,11.88
159,5.333,0.31,1.8,0.32,7.49,3.59,11.61
160,5.366,0.36,1.49,0.33,7.29,4.09,11.3
161,5.4,0.4,1.26,0.34,7.08,4.48,11.07
162,5.433,0.45,1.01,0.36,6.77,4.83,10.82
163,5.466,0.48,0.7,0.37,6.35,5,10.51
164,5.5,0.49,0.54,0.39,5.86,5.06,10.35
165,5.533,0.51,0.57,0.4,5.29,5.25,10.38
166,5.566,0.53,0.5,0.42,4.73,5.46,10.31
167,5.6,0.55,0.16,0.44,4.27,5.44,9.97
168,5.633,0.54,-0.18,0.46,3.81,5.21,9.63
169,5.666,0.53,-0.18,0.48,3.26,5.06,9.63
170,5.7,0.52,0.06,0.49,2.65,5.17,9.87
171,5.733,0.53,0.2,0.51,2.02,5.34,10.01
172,5.766,0.54,0.15,0.53,1.42,5.38,9.96
173,5.8,0.55,-0.11,0.55,0.88,5.3,9.7
174,5.833,0.54,-0.61,0.56,0.42,4.97,9.2
175,5.866,0.51,-1.07,0.58,0.15,4.42,8.74
176,5.9,0.46,-1.25,0.6,0.02,3.94,8.56
177,5.933,0.42,-1.25,0.61,0,3.6,8.56
178,5.966,0.38,-1.2,0.63,0.03,3.26,8.61
179,6,0.34,-1.09,0.64,0.19,2.94,8.72
180,6.033,0.31,-1,0.65,0.53,2.69,8.81
181,6.066,0.27,-1.04,0.66,0.93,2.41,8.77
182,6.1,0.24,-1.12,0.67,1.32,2.06,8.69
183,6.133,0.2,-1.15,0.67,1.76,1.71,8.66
184,6.166,0.16,-1.1,0.68,2.21,1.39,8.71
185,6.2,0.12,-0.98,0.69,2.55,1.09,8.83
186,6.233,0.09,-0.85,0.69,2.8,0.83,8.96
187,6.266,0.07,-0.77,0.69,2.98,0.62,9.04
188,6.3,0.04,-0.69,0.69,3.13,0.39,9.12
189,6.333,0.02,-0.55,0.69,3.27,0.17,9.26
190,6.366,0.01,-0.53,0.69,3.41,0.07,9.28
191,6.4,-0.01,-0.81,0.69,3.5,0,9
192,6.433,-0.05,-1.15,0.69,3.54,0,8.66
193,6.466,-0.09,-1.2,0.69,3.46,0,8.61
194,6.5,-0.13,-1.17,0.69,3.28,0,8.64
195,6.533,-0.16,-1.34,0.68,3.11,0,8.47
196,6.566,-0.22,-1.55,0.68,2.95,0,8.26
197,6.6,-0.27,-1.5,0.67,2.82,0,8.31
198,6.633,-0.32,-1.24,0.66,2.64,0,8.57
199,6.666,-0.36,-0.92,0.65,2.4,0,8.89
200,6.7,-0.38,-0.59,0.64,2.18,0,9.22
201,6.733,-0.4,-0.32,0.62,2.05,0,9.49
202,6.766,-0.4,-0.21,0.61,1.97,0,9.6
203,6.8,-0.41,-0.15,0.6,1.9,0,9.66
204,6.833,-0.41,0.08,0.58,1.82,0,9.89
205,6.866,-0.4,0.37,0.57,1.76,0,10.18
206,6.9,-0.39,0.55,0.55,1.82,0,10.36
207,6.933,-0.37,0.62,0.54,2,0,10.43
208,6.966,-0.34,0.54,0.53,2.33,0,10.35
209,7,-0.32,0.25,0.52,2.77,0,10.06
210,7.033,-0.32,-0.04,0.51,3.27,0,9.77
211,7.066,-0.33,-0.12,0.5,3.79,0,9.69
212,7.1,-0.34,0.01,0.49,4.35,0,9.82
213,7.133,-0.33,0.13,0.48,4.83,0,9.94
214,7.166,-0.32,0.05,0.46,5.16,0,9.86
215,7.2,-0.32,-0.18,0.45,5.44,0,9.63
216,7.233,-0.34,-0.31,0.44,5.85,0,9.5
217,7.266,-0.35,-0.24,0.43,6.32,0,9.57
218,7.3,-0.36,0,0.42,6.76,0,9.81
219,7.333,-0.35,0.31,0.41,7.11,0,10.12
220,7.366,-0.33,0.48,0.4,7.42,0,10.29
221,7.4,-0.31,0.37,0.38,7.76,0,10.18
222,7.433,-0.31,0.13,0.38,8.09,0,9.94
223,7.466,-0.31,0.11,0.36,8.33,0,9.92
224,7.5,-0.31,0.47,0.35,8.53,0,10.28
225,7.533,-0.28,0.94,0.34,8.71,0,10.75
226,7.566,-0.24,1.14,0.34,8.8,0,10.95
227,7.6,-0.2,1.08,0.33,8.81,0,10.89
228,7.633,-0.17,1,0.32,8.74,0,10.81
229,7.666,-0.13,1,0.32,8.66,0,10.81
230,7.7,-0.1,1.01,0.31,8.59,0,10.82
231,7.733,-0.07,0.95,0.31,8.51,0,10.76
232,7.766,-0.04,0.85,0.31,8.32,0,10.66
233,7.8,-0.01,0.85,0.31,8.11,0,10.66
234,7.833,0.02,1.08,0.31,7.93,0.18,10.89
235,7.866,0.06,1.47,0.31,7.74,0.65,11.28
236,7.9,0.12,1.8,0.31,7.51,1.35,11.61
237,7.933,0.18,1.93,0.32,7.32,2.14,11.74
238,7.966,0.25,1.98,0.32,7.19,2.9,11.79
239,8,0.31,2.09,0.33,7.17,3.71,11.9
240,8.033,0.39,2.15,0.34,7.19,4.62,11.96
241,8.066,0.46,1.9,0.36,7.04,5.4,11.71
242,8.1,0.52,1.33,0.38,6.62,5.79,11.14
243,8.133,0.55,0.68,0.39,6.11,5.79,10.49
244,8.166,0.56,0.23,0.41,5.61,5.62,10.04
245,8.2,0.56,-0.05,0.43,5.09,5.49,9.76
246,8.233,0.56,-0.28,0.45,4.58,5.32,9.53
247,8.266,0.54,-0.3,0.47,4.1,5.14,9.51
248,8.3,0.53,-0.09,0.49,3.59,5.16,9.72
249,8.333,0.54,0.02,0.5,3.04,5.29,9.83
250,8.366,0.54,-0.2,0.52,2.44,5.19,9.61
251,8.4,0.53,-0.56,0.54,1.85,4.87,9.25
252,8.433,0.5,-0.74,0.56,1.43,4.53,9.07
253,8.466,0.47,-0.7,0.57,1.25,4.3,9.11
254,8.5,0.45,-0.75,0.59,1.18,4.12,9.06
255,8.533,0.43,-1.03,0.6,1.1,3.77,8.78
256,8.566,0.38,-1.26,0.62,1.11,3.29,8.55
257,8.6,0.34,-1.2,0.63,1.19,2.91,8.61
258,8.633,0.3,-0.96,0.64,1.22,2.67,8.85
259,8.666,0.27,-0.75,0.65,1.18,2.49,9.06
260,8.7,0.25,-0.68,0.66,1.16,2.32,9.13
261,8.733,0.23,-0.7,0.67,1.21,2.11,9.11
262,8.766,0.21,-0.66,0.67,1.4,1.88,9.15
263,8.8,0.18,-0.53,0.68,1.67,1.71,9.28
264,8.833,0.17,-0.52,0.69,1.97,1.6,9.29
265,8.866,0.16,-0.75,0.69,2.3,1.42,9.06
266,8.9,0.12,-1.12,0.7,2.65,1.09,8.69
267,8.933,0.08,-1.37,0.7,2.93,0.67,8.44
268,8.966,0.03,-1.27,0.7,3.04,0.23,8.54
269,9,-0.01,-0.86,0.7,3.03,0,8.95
270,9.033,-0.03,-0.48,0.7,2.99,0,9.33
271,9.066,-0.04,-0.4,0.7,3,0,9.41
272,9.1,-0.05,-0.56,0.7,3.14,0,9.25
273,9.133,-0.08,-0.8,0.7,3.25,0,9.01
274,9.166,-0.1,-1.05,0.69,3.24,0,8.76
275,9.2,-0.15,-1.21,0.69,3.18,0,8.6
276,9.233,-0.19,-1.14,0.68,3.15,0,8.67
277,9.266,-0.22,-0.95,0.68,3.07,0,8.86
278,9.3,-0.25,-0.83,0.67,2.96,0,8.98
279,9.333,-0.28,-0.76,0.66,2.82,0,9.05
280,9.366,-0.3,-0.74,0.65,2.65,0,9.07
281,9.4,-0.33,-0.73,0.64,2.49,0,9.08
282,9.433,-0.35,-0.57,0.63,2.36,0,9.24
283,9.466,-0.37,-0.26,0.62,2.18,0,9.55
284,9.5,-0.37,-0.08,0.6,1.95,0,9.73
285,9.533,-0.37,-0.1,0.59,1.7,0,9.71
286,9.566,-0.38,-0.02,0.58,1.47,0,9.79
287,9.6,-0.38,0.26,0.57,1.3,0,10.07
288,9.633,-0.36,0.41,0.55,1.27,0,10.22
289,9.666,-0.34,0.24,0.54,1.32,0,10.05
290,9.7,-0.34,0.06,0.53,1.43,0,9.87
291,9.733,-0.34,0.13,0.52,1.59,0,9.94
292,9.766,-0.33,0.2,0.51,1.8,0,10.01
293,9.8,-0.32,0,0.5,2,0,9.81
294,9.833,-0.33,-0.32,0.49,2.17,0,9.49
295,9.866,-0.35,-0.53,0.48,2.33,0,9.28
296,9.9,-0.37,-0.48,0.46,2.54,0,9.33
297,9.933,-0.39,-0.14,0.45,2.74,0,9.67
298,9.966,-0.38,0.22,0.44,2.88,0,10.03
299,10,-0.37,0.43,0.43,3.01,0,10.24
300,10.033,-0.35,0.5,0.41,3.27,0,10.31
301,10.066,-0.33,0.36,0.4,3.62,0,10.17
302,10.1,-0.32,0.12,0.39,4.01,0,9.93
303,10.133,-0.33,0.13,0.38,4.44,0,9.94
304,10.166,-0.32,0.36,0.37,4.82,0,10.17
305,10.2,-0.3,0.46,0.36,5.1,0,10.27
306,10.233,-0.28,0.32,0.35,5.35,0,10.13
307,10.266,-0.28,0.19,0.34,5.64,0,10
308,10.3,-0.28,0.28,0.33,5.87,0,10.09
309,10.333,-0.26,0.59,0.32,6,0,10.4
310,10.366,-0.24,0.9,0.31,6.05,0,10.71
311,10.4,-0.2,1.11,0.31,6.15,0,10.92
312,10.433,-0.16,1.29,0.3,6.2,0,11.1
313,10.466,-0.12,1.48,0.29,6.13,0,11.29
314,10.5,-0.06,1.64,0.29,6.07,0,11.45
315,10.533,-0.01,1.7,0.29,6.04,0,11.51
316,10.566,0.05,1.64,0.29,5.94,0.6,11.45
317,10.6,0.1,1.68,0.29,5.82,1.19,11.49
318,10.633,0.16,2.02,0.3,5.71,1.86,11.83
319,10.666,0.23,2.43,0.3,5.56,2.87,12.24
320,10.7,0.33,2.44,0.31,5.47,4.03,12.25
321,10.733,0.41,1.95,0.33,5.39,4.81,11.76
322,10.766,0.46,1.29,0.34,5.1,5.1,11.1
323,10.8,0.49,0.82,0.36,4.49,5.21,10.63
324,10.833,0.51,0.58,0.37,3.83,5.31,10.39
325,10.866,0.53,0.42,0.39,3.36,5.39,10.23
326,10.9,0.54,0.24,0.41,2.94,5.42,10.05
327,10.933,0.54,0.02,0.43,2.39,5.35,9.83
328,10.966,0.54,-0.16,0.45,1.8,5.21,9.65
329,11,0.53,-0.33,0.46,1.37,5.05,9.48
330,11.033,0.52,-0.48,0.48,1.06,4.84,9.33
331,11.066,0.5,-0.43,0.5,0.75,4.66,9.38
332,11.1,0.49,-0.27,0.51,0.29,4.64,9.54
333,11.133,0.48,-0.28,0.53,0.09,4.62,9.53
334,11.166,0.47,-0.47,0.55,0.42,4.4,9.34
335,11.2,0.45,-0.56,0.56,0.7,4.16,9.25
336,11.233,0.43,-0.51,0.58,0.95,4.01,9.3
337,11.266,0.42,-0.46,0.59,1.09,3.89,9.35
338,11.3,0.4,-0.64,0.6,1.19,3.71,9.17
339,11.333,0.38,-0.96,0.62,1.3,3.35,8.85
340,11.366,0.33,-1.08,0.63,1.39,2.92,8.73
341,11.4,0.3,-1.01,0.64,1.46,2.64,8.8
342,11.433,0.27,-1.12,0.65,1.43,2.38,8.69
343,11.466,0.23,-1.38,0.66,1.32,1.95,8.43
344,11.5,0.17,-1.42,0.67,1.16,1.47,8.39
345,11.533,0.13,-1.15,0.67,1.05,1.11,8.66
346,11.566,0.1,-0.89,0.67,0.91,0.89,8.92
347,11.6,0.07,-0.81,0.68,0.74,0.67,9
348,11.633,0.05,-0.81,0.68,0.55,0.42,9
349,11.666,0.02,-0.71,0.68,0.34,0.17,9.1
350,11.7,0,-0.51,0.68,0.15,0,9.3
351,11.733,-0.02,-0.33,0.68,0.05,0,9.48
352,11.766,-0.02,-0.42,0.68,0.01,0,9.39
353,11.8,-0.04,-0.89,0.68,0.01,0,8.92
354,11.833,-0.08,-1.39,0.68,0.04,0,8.42
355,11.866,-0.14,-1.48,0.67,0.08,0,8.33
356,11.9,-0.19,-1.27,0.67,0.15,0,8.54
357,11.933,-0.22,-1.15,0.66,0.2,0,8.66
358,11.966,-0.25,-1.26,0.65,0.25,0,8.55
359,12,-0.3,-1.33,0.64,0.34,0,8.48
360,12.033,-0.35,-1.14,0.63,0.44,0,8.67
361,12.066,-0.38,-0.77,0.62,0.5,0,9.04
362,12.1,-0.4,-0.35,0.61,0.52,0,9.46
363,12.133,-0.41,0.04,0.59,0.48,0,9.85
364,12.166,-0.39,0.2,0.58,0.48,0,10.01
365,12.2,-0.39,0.06,0.57,0.48,0,9.87
366,12.233,-0.39,-0.08,0.55,0.37,0,9.73
367,12.266,-0.4,-0.03,0.54,0.07,0,9.78
368,12.3,-0.39,0.12,0.53,0.3,0,9.93
369,12.333,-0.39,0.29,0.51,0.71,0,10.1
370,12.366,-0.37,0.35,0.5,1.15,0,10.16
371,12.4,-0.36,0.25,0.49,1.63,0,10.06
372,12.433,-0.36,0.13,0.48,2.07,0,9.94
373,12.466,-0.36,0.18,0.47,2.46,0,9.99
374,12.5,-0.35,0.33,0.45,2.78,0,10.14
375,12.533,-0.33,0.35,0.44,3.08,0,10.16
376,12.566,-0.32,0.15,0.43,3.38,0,9.96
377,12.6,-0.32,-0.08,0.42,3.75,0,9.73
378,12.633,-0.33,-0.13,0.41,4.11,0,9.68
379,12.666,-0.33,-0.1,0.4,4.43,0,9.71
380,12.7,-0.33,-0.1,0.39,4.73,0,9.71
381,12.733,-0.34,0.03,0.38,5.15,0,9.84
382,12.766,-0.34,0.36,0.37,5.59,0,10.17
383,12.8,-0.32,0.67,0.35,5.87,0,10.48
384,12.833,-0.29,0.75,0.34,6.06,0,10.56
385,12.866,-0.26,0.66,0.34,6.27,0,10.47
386,12.9,-0.24,0.67,0.33,6.45,0,10.48
387,12.933,-0.22,0.97,0.32,6.56,0,10.78
388,12.966,-0.18,1.43,0.31,6.62,0,11.24
389,13,-0.12,1.74,0.31,6.61,0,11.55
390,13.033,-0.06,1.79,0.3,6.62,0,11.6
391,13.066,0,1.8,0.3,6.62,0,11.61
392,13.1,0.05,1.95,0.3,6.66,0.64,11.76
393,13.133,0.12,2.18,0.31,6.53,1.49,11.99
394,13.166,0.2,2.32,0.31,6.3,2.44,12.13
395,13.2,0.28,2.22,0.32,6.1,3.4,12.03
396,13.233,0.36,1.84,0.33,5.94,4.15,11.65
397,13.266,0.41,1.28,0.34,5.76,4.52,11.09
398,13.3,0.44,0.7,0.36,5.6,4.62,10.51
399,13.333,0.45,0.16,0.37,5.42,4.54,9.97
400,13.366,0.45,-0.21,0.39,5.2,4.3,9.6
401,13.4,0.43,-0.37,0.4,5,4.1,9.44
402,13.433,0.42,-0.43,0.42,4.68,3.97,9.38
403,13.466,0.41,-0.42,0.43,4.31,3.81,9.39
404,13.5,0.39,-0.23,0.44,3.97,3.74,9.58
405,13.533,0.39,0.02,0.46,3.58,3.83,9.83
406,13.566,0.4,0.15,0.47,3.09,3.93,9.96
407,13.6,0.4,0.09,0.48,2.6,3.98,9.9
408,13.633,0.4,-0.06,0.5,2.21,3.94,9.75
409,13.666,0.4,-0.07,0.51,1.9,3.85,9.74
410,13.7,0.39,0.12,0.52,1.56,3.91,9.93
411,13.733,0.41,0.25,0.54,1.09,4.08,10.06
412,13.766,0.42,0.13,0.55,0.6,4.14,9.94
413,13.8,0.42,-0.2,0.56,0.23,4.01,9.61
414,13.833,0.4,-0.58,0.58,0.04,3.73,9.23
415,13.866,0.38,-0.82,0.59,0.29,3.38,8.99
416,13.9,0.35,-0.88,0.6,0.51,3.08,8.93
417,13.933,0.32,-0.92,0.61,0.72,2.82,8.89
418,13.966,0.28,-0.94,0.62,0.9,2.52,8.87
419,14,0.25,-0.95,0.63,1.08,2.23,8.86
420,14.033,0.22,-1.08,0.64,1.12,1.95,8.73
421,14.066,0.18,-1.32,0.65,1,1.57,8.49
422,14.1,0.13,-1.39,0.65,0.82,1.11,8.42
423,14.133,0.08,-1.12,0.66,0.69,0.72,8.69
424,14.166,0.05,-0.7,0.66,0.63,0.49,9.11
425,14.2,0.04,-0.45,0.66,0.63,0.39,9.36
426,14.233,0.03,-0.4,0.66,0.55,0.27,9.41
427,14.266,0.01,-0.34,0.66,0.38,0.13,9.47
428,14.3,0,-0.19,0.66,0.32,0.04,9.62
429,14.333,0,-0.05,0.66,0.33,0.02,9.76
430,14.366,0,-0.08,0.66,0.28,0.03,9.73
431,14.4,0,-0.37,0.66,0.2,0.02,9.44
432,14.433,-0.02,-0.8,0.66,0.15,0,9.01
433,14.466,-0.06,-1.07,0.66,0.09,0,8.74
434,14.5,-0.1,-1.11,0.66,0,0,8.7
435,14.533,-0.13,-1.11,0.66,0.08,0,8.7
436,14.566,-0.17,-1.22,0.65,0.15,0,8.59
437,14.6,-0.21,-1.42,0.65,0.19,0,8.39
438,14.633,-0.26,-1.5,0.64,0.26,0,8.31
439,14.666,-0.32,-1.26,0.63,0.32,0,8.55
440,14.7,-0.35,-0.76,0.62,0.36,0,9.05
441,14.733,-0.37,-0.33,0.6,0.39,0,9.48
442,14.766,-0.37,-0.16,0.59,0.48,0,9.65
443,14.8,-0.37,-0.12,0.58,0.52,0,9.69
444,14.833,-0.38,0.08,0.57,0.47,0,9.89
445,14.866,-0.37,0.39,0.55,0.49,0,10.2
446,14.9,-0.35,0.55,0.54,0.65,0,10.36
447,14.933,-0.33,0.43,0.53,0.89,0,10.24
448,14.966,-0.32,0.2,0.52,1.13,0,10.01
449,15,-0.32,0.04,0.51,1.38,0,9.85
450,15.033,-0.32,-0.07,0.5,1.6,0,9.74
451,15.066,-0.32,-0.18,0.49,1.89,0,9.63
452,15.1,-0.33,-0.2,0.48,2.26,0,9.61
453,15.133,-0.34,-0.11,0.47,2.57,0,9.7
454,15.166,-0.34,0.02,0.45,2.76,0,9.83
455,15.2,-0.34,0.16,0.44,2.96,0,9.97
456,15.233,-0.33,0.19,0.43,3.17,0,10
457,15.266,-0.32,0.03,0.42,3.38,0,9.84
458,15.3,-0.33,-0.09,0.41,3.63,0,9.72
459,15.333,-0.33,0.05,0.4,3.92,0,9.86
460,15.366,-0.32,0.27,0.39,4.18,0,10.08
461,15.4,-0.31,0.36,0.38,4.44,0,10.17
462,15.433,-0.3,0.37,0.37,4.72,0,10.18
463,15.466,-0.29,0.41,0.36,5.07,0,10.22
464,15.5,-0.27,0.57,0.35,5.41,0,10.38
465,15.533,-0.25,0.8,0.34,5.61,0,10.61
466,15.566,-0.22,1.01,0.33,5.74,0,10.82
467,15.6,-0.18,1.2,0.33,5.92,0,11.01
468,15.633,-0.14,1.46,0.32,6.07,0,11.27
469,15.666,-0.09,1.74,0.32,6.14,0,11.55
470,15.7,-0.02,1.96,0.31,6.19,0,11.77
471,15.733,0.05,2.11,0.31,6.21,0.55,11.92
472,15.766,0.12,2.27,0.32,6.18,1.41,12.08
473,15.8,0.2,2.41,0.32,6.1,2.41,12.22
474,15.833,0.28,2.36,0.33,5.98,3.44,12.17
