Time (s),L_Position_X,R_Position_X,L_Position_Z,R_Position_Z,Reps,Status,Summary
4.933432,-0.007643196,-0.001810213,0.008346393,-0.002377214,0,0,
4.966766,-0.007974269,-0.001989839,0.009627648,-0.001559032,0,0,
5.0001,-0.008239384,-0.002209235,0.010506639,-0.001053045,0,0,
5.033434,-0.008451591,-0.002447134,0.0109386,-0.000691088,0,0,
5.066768,-0.008540818,-0.002721899,0.010769136,-0.000639639,0,0,
5.100102,-0.008515203,-0.002894594,0.01007152,-0.000780058,0,0,
5.133436,-0.008445607,-0.003021376,0.008834968,-0.001099759,0,0,
5.16677,-0.008202785,-0.003134482,0.007150061,-0.001561799,0,0,
5.200104,-0.007841582,-0.003286886,0.00506618,-0.002080638,0,0,
5.233438,-0.007413962,-0.003343614,0.002760306,-0.0026484,0,0,
5.266772,-0.006862491,-0.003447034,0.000506848,-0.00324791,0,0,
5.300106,-0.006428515,-0.003483531,-0.001475829,-0.003833639,0,0,
5.33344,-0.005922546,-0.003501978,-0.003011006,-0.004342901,0,0,
5.366774,-0.005513843,-0.00355944,-0.004166621,-0.004754989,0,0,
5.400108,-0.005176087,-0.003492639,-0.004881886,-0.004982587,0,0,
5.433442,-0.00487802,-0.003399396,-0.005257892,-0.005103108,0,0,
5.466776,-0.004654895,-0.003278091,-0.005273424,-0.005009131,0,0,
5.50011,-0.004460796,-0.00314187,-0.005007244,-0.004805026,0,0,
5.533444,-0.004309575,-0.003087835,-0.004368052,-0.004435234,0,0,
5.566778,-0.004206975,-0.003024163,-0.003356272,-0.003934385,0,0,
5.600112,-0.004170148,-0.003065125,-0.001875303,-0.003431626,0,0,
5.633446,-0.004028235,-0.003251086,0.000256464,-0.002784438,0,0,
5.66678,-0.003945881,-0.0032932,0.003324507,-0.002151082,0,0,
5.700114,-0.003960763,-0.003289274,0.007821876,-0.001415256,0,0,
5.733448,-0.003971407,-0.003307014,0.015016042,-0.00064684,0,0,
5.766782,-0.002952712,-0.003221891,0.027226897,0.000152327,0,4,
5.800116,0.003843884,-0.003001915,0.044836838,0.001189204,0,4,
5.83345,0.01794277,-0.002782293,0.058271326,0.002358856,0,5,
5.866784,0.03013822,-0.002315752,0.06387533,0.00413219,0,5,
5.900118,0.03921138,-0.00144676,0.06562145,0.007095455,0,5,
5.933452,0.047603413,0.000226114,0.06570413,0.012032642,0,5,
5.966786,0.056832355,0.00466562,0.06481519,0.02254886,0,5,
6.00012,0.06846386,0.029309388,0.063292414,0.056316745,0,1,
6.033454,0.083613575,0.095473796,0.06102913,0.09648863,0,8,
6.066788,0.10296278,0.12548277,0.057850607,0.10366161,0,10,
6.100122,0.1261377,0.13726287,0.05360966,0.105169535,0,8,
6.133456,0.1511729,0.14341258,0.048341677,0.10506286,0,8,
6.16679,0.1749945,0.14794332,0.042320374,0.103927076,0,9,
6.200124,0.1951042,0.15180656,0.03573771,0.10194685,0,9,
6.233458,0.21078984,0.15542375,0.028609455,0.09923471,0,9,
6.266792,0.22255078,0.15886585,0.02099725,0.09592831,0,9,
6.300126,0.23163585,0.16191597,0.012327406,0.09220384,0,9,
6.33346,0.23888272,0.16440795,0.002623896,0.088354394,0,9,
6.366794,0.24480796,0.1661606,-0.007927761,0.0847482,0,9,
6.400128,0.24970567,0.16725846,-0.018999688,0.081677064,0,9,
6.433462,0.25361112,0.16762038,-0.030506523,0.0792325,0,9,
6.466796,0.25677785,0.16711211,-0.042057414,0.07726719,0,9,
6.50013,0.25917354,0.16715018,-0.053293053,0.07547119,0,9,
6.533464,0.2608603,0.16863805,-0.06351385,0.07332677,0,9,
6.566798,0.26203334,0.1717476,-0.0724295,0.070307046,0,9,
6.600132,0.26334593,0.17596973,-0.07995816,0.06574701,0,9,
6.633466,0.26534343,0.18060482,-0.087126575,0.058526903,0,9,
6.6668,0.26754296,0.18498012,-0.09490238,0.046952296,0,9,
6.700134,0.26950234,0.18890151,-0.104304336,0.029281262,0,9,
6.733468,0.27100223,0.19261472,-0.11532549,0.003840676,0,9,
6.766802,0.27192447,0.19669008,-0.12762538,-0.028959777,0,9,
6.800136,0.27197814,0.20160216,-0.13972193,-0.0644693,0,9,
6.83347,0.2715001,0.20745708,-0.15013559,-0.095629536,0,9,
6.866804,0.27139044,0.21382394,-0.15882558,-0.11895613,0,9,
6.900138,0.27120984,0.2198688,-0.16589746,-0.13500074,0,9,
6.933472,0.27037635,0.22468317,-0.17100379,-0.14488982,0,9,
6.966806,0.26841712,0.22800723,-0.17372228,-0.1499514,0,9,
7.00014,0.26348847,0.22979546,-0.17282134,-0.15088071,0,9,
7.033474,0.25025293,0.22957766,-0.16399385,-0.14830974,0,1,
7.066808,0.20319197,0.22540396,-0.12816828,-0.14161493,0,2,
7.100142,0.09376564,0.20878257,-0.061748933,-0.12585165,0,6,
7.133476,0.032831915,0.16591348,-0.034402777,-0.09275652,0,6,
7.16681,0.016783327,0.13183445,-0.024515936,-0.06808116,0,6,
7.200144,0.012874616,0.13000257,-0.019657653,-0.0678502,0,6,
7.233478,0.011575009,0.15103737,-0.018208804,-0.08487078,0,6,
7.266812,0.010948175,0.18159916,-0.018573377,-0.109454624,0,6,
7.300146,0.010473848,0.20616053,-0.019633027,-0.12994722,0,6,
7.33348,0.010638376,0.22137143,-0.020740204,-0.14360659,0,6,
7.366814,0.011687758,0.23112965,-0.022167275,-0.15320627,0,6,
7.400148,0.014171712,0.23837759,-0.025839187,-0.16063473,0,6,
7.433482,0.020269735,0.24434566,-0.03401909,-0.16655496,0,6,
7.466816,0.053640023,0.24965477,-0.061278805,-0.17132963,0,6,
7.50015,0.23650081,0.2542916,-0.19929121,-0.17482726,0,8,
7.533484,0.25973707,0.258521,-0.22054774,-0.17685325,0,8,
7.566818,0.262811,0.26227105,-0.22284514,-0.17710812,1,8,
7.600152,0.26364207,0.26562396,-0.22167665,-0.17524634,1,8,
7.633486,0.2641611,0.26852846,-0.21840288,-0.1710204,1,8,
7.66682,0.26460955,0.2708822,-0.21327652,-0.16400735,1,8,
7.700154,0.26495114,0.27278304,-0.20600425,-0.1539865,1,8,
7.733488,0.26505423,0.27390337,-0.19563912,-0.14024377,1,8,
7.766822,0.26469252,0.27423948,-0.18097346,-0.12251472,1,8,
7.800156,0.26385036,0.27377334,-0.16124584,-0.10143879,1,8,
7.83349,0.2625167,0.27265298,-0.13726223,-0.07803727,1,8,
7.866824,0.26068017,0.27093348,-0.109664,-0.05288061,1,8,
7.900158,0.2583384,0.26870137,-0.079275504,-0.026753163,1,8,
7.933492,0.25582308,0.26629367,-0.04845596,-0.001986551,1,8,
7.966826,0.25377074,0.2641048,-0.019840302,0.019916816,1,8,
8.00016,0.25251383,0.26178423,0.008169911,0.038972966,1,8,
8.033494,0.25138614,0.25915676,0.034381963,0.054826304,1,8,
8.066828,0.24963945,0.25667578,0.05574149,0.0675167,1,0,
8.100162,0.24819979,0.2548007,0.072227776,0.07797087,1,0,
8.133496,0.2475388,0.25377798,0.08523411,0.086826876,1,0,
8.16683,0.24732,0.25355995,0.09535079,0.09423069,1,0,
8.200164,0.23339367,0.25407907,0.10969574,0.099934496,1,2,
8.233498,0.21928665,0.25512984,0.122168995,0.10348733,1,2,
8.266832,0.22357842,0.2565505,0.11682383,0.10450198,1,2,
8.300166,0.22912072,0.2580195,0.10742422,0.10269291,1,2,
8.3335,0.23301914,0.25942808,0.097636245,0.09843328,1,2,
8.366834,0.23500612,0.2608225,0.089280255,0.092286795,1,2,
8.400168,0.23583862,0.26225305,0.08200281,0.084713876,1,2,
8.433502,0.23646352,0.263637,0.075223126,0.075966425,1,2,
8.466836,0.23729776,0.26497322,0.06844482,0.06671748,1,2,
8.50017,0.23855424,0.26583254,0.061674137,0.057289355,1,2,
8.533504,0.23978664,0.26644874,0.055481162,0.04719633,1,2,
8.566838,0.24107838,0.2669679,0.04868487,0.035945863,1,2,
8.600172,0.2425204,0.26741192,0.040885888,0.02353191,1,2,
8.633506,0.24396367,0.26788542,0.031696882,0.010025062,1,6,
8.66684,0.24516976,0.26840633,0.0210908,-0.004662118,1,6,
8.700174,0.24609795,0.26904768,0.009290898,-0.020552857,1,6,
8.733508,0.24692161,0.2698675,-0.003824858,-0.037610188,1,6,
8.766842,0.24785714,0.2707239,-0.01818361,-0.054593965,1,6,
8.800176,0.24892235,0.27128714,-0.03328929,-0.0705784,1,6,
8.83351,0.24999751,0.27156642,-0.048405115,-0.08415521,1,6,
8.866844,0.2508594,0.27204686,-0.062225148,-0.09708809,1,6,
8.900178,0.25136504,0.27278855,-0.07417428,-0.111538485,1,6,
8.933512,0.25200096,0.27348915,-0.08395092,-0.12698892,1,6,
8.966846,0.2536046,0.273972,-0.09541969,-0.1430347,1,6,
9.00018,0.2556798,0.2745499,-0.10869275,-0.15951504,1,4,
9.033514,0.25758225,0.27534777,-0.12279976,-0.17618227,1,4,
9.066848,0.25920546,0.27658257,-0.13735397,-0.1926747,1,4,
9.100182,0.2606242,0.2780778,-0.15222655,-0.20840906,1,4,
9.133516,0.26200864,0.27973747,-0.16695178,-0.22298865,1,4,
9.16685,0.26365316,0.28142366,-0.18117668,-0.23574898,1,4,
9.200184,0.26544037,0.2829262,-0.19446255,-0.24622703,1,4,
9.233518,0.2674284,0.2841924,-0.20656312,-0.2541492,1,4,
9.266852,0.2693625,0.28524476,-0.21670169,-0.25919515,1,4,
9.300186,0.27109778,0.2859338,-0.2244437,-0.26092845,2,4,
9.33352,0.27262866,0.28623027,-0.22938311,-0.2590882,2,4,
9.366854,0.27382174,0.28616837,-0.23092854,-0.25349593,2,4,
9.400188,0.2745628,0.28557888,-0.2281681,-0.24380805,2,0,
9.433522,0.27456304,0.28455698,-0.22006632,-0.22989494,2,0,
9.466856,0.27371007,0.28304237,-0.2059345,-0.21114253,2,0,
9.50019,0.2719706,0.28112343,-0.18614173,-0.18694338,2,0,
9.533524,0.26943666,0.27878207,-0.16082986,-0.15750098,2,0,
9.566858,0.26631644,0.27610558,-0.13094617,-0.12366441,2,0,
9.600192,0.2630496,0.27331224,-0.09784111,-0.08670746,2,0,
9.633526,0.2603166,0.27057445,-0.0644328,-0.048960518,2,0,
9.66686,0.25846523,0.26800832,-0.031146137,-0.012815291,2,0,
9.700194,0.2566926,0.26566663,0.002526287,0.0188512,2,0,
9.733528,0.25462002,0.26380244,0.031135939,0.044581216,2,0,
9.766862,0.2526981,0.2624945,0.052919604,0.06457414,2,0,
9.800196,0.25146466,0.26168144,0.06957802,0.0796568,2,0,
9.83353,0.2508933,0.26087585,0.08266915,0.09139074,2,0,
9.866864,0.2508722,0.26002488,0.09302008,0.10104951,2,0,
9.900198,0.25126445,0.25936472,0.10036262,0.10833966,2,0,
9.933532,0.25197452,0.25911066,0.10444845,0.11374867,2,0,
9.966866,0.2528415,0.25921836,0.10538071,0.11710565,2,0,
10.0002,0.25377703,0.2595358,0.1040423,0.11819309,2,0,
10.033534,0.25471312,0.25984162,0.10111726,0.11657223,2,0,
10.066868,0.25550702,0.26002762,0.09713855,0.112511575,2,0,
10.100202,0.25606382,0.2601726,0.09256464,0.106537364,2,0,
10.133536,0.2563734,0.26027378,0.0878689,0.0990083,2,0,
10.16687,0.25642738,0.26036605,0.083260275,0.090348266,2,0,
10.200204,0.25636765,0.26037723,0.07867862,0.08103536,2,0,
10.233538,0.25628695,0.26032048,0.073703386,0.07058104,2,0,
10.266872,0.25639728,0.26040268,0.06700312,0.058329083,2,0,
10.300206,0.25678268,0.26066124,0.05818085,0.04393002,2,0,
10.33354,0.25751325,0.26100942,0.046850074,0.0275835,2,0,
10.366874,0.2584322,0.26149482,0.033436224,0.008774795,2,4,
10.400208,0.25945088,0.2620814,0.017769378,-0.012367231,2,4,
10.433542,0.26054204,0.26253662,-0.000136931,-0.034951955,2,4,
10.466876,0.2616993,0.2624335,-0.019996293,-0.056925725,2,4,
10.50021,0.2625114,0.2614527,-0.040108915,-0.07683806,2,4,
10.533544,0.26255572,0.26047707,-0.05905052,-0.094368614,2,4,
10.566878,0.2618043,0.25999233,-0.07551394,-0.11307291,2,4,
10.600212,0.26154673,0.2593016,-0.09177092,-0.13156705,2,4,
10.633546,0.2619321,0.25851193,-0.109824985,-0.14928675,2,4,
