Time (s),L_Position_X,R_Position_X,L_Position_Z,R_Position_Z,Reps,Status,Summary
2.00004,0.236692771,0.23262339,0.028419884,0.039993241,0,0,이번 세트에 10 회를 했습니다.운동주기는 약2.0초 입니다운동주기가 일정합니다.
2.033374,0.236669193,0.232786327,0.02853875,0.039244186,0,0,
2.066708,0.236109705,0.233092171,0.028784292,0.038300483,0,0,
2.100042,0.235468156,0.233523048,0.02924529,0.037456167,0,0,
2.133376,0.234941959,0.233958433,0.02996816,0.036969902,0,0,
2.16671,0.234484493,0.234240788,0.03092155,0.03695706,0,0,
2.200044,0.234071627,0.234309662,0.031996879,0.037356642,0,0,
2.233378,0.233784467,0.234238681,0.033040857,0.037981887,0,0,
2.266712,0.233667904,0.234115332,0.03390667,0.038619611,0,0,
2.300046,0.233620223,0.233934343,0.03450562,0.039122927,0,0,
2.33338,0.233468701,0.233651373,0.034836607,0.039455483,0,0,
2.366714,0.233176699,0.233293359,0.034978399,0.039676034,0,0,
2.400048,0.233000073,0.232958107,0.035047871,0.039881462,0,0,
2.433382,0.2334249,0.232724305,0.035143908,0.040144317,0,0,
2.466716,0.234847103,0.232600513,0.035304108,0.040477838,0,0,
2.50005,0.237119704,0.232549985,0.035493628,0.040839276,0,0,
2.533384,0.239332178,0.232534105,0.035627098,0.041159712,0,0,
2.566718,0.240258576,0.23253148,0.035614305,0.041380406,0,0,
2.600052,0.239309231,0.232537904,0.035418182,0.041479969,0,0,
2.633386,0.237046038,0.232567374,0.035099337,0.041483447,0,0,
2.66672,0.234676466,0.232664028,0.034809418,0.041450117,0,0,
2.700054,0.233147579,0.232915542,0.034723083,0.041443328,0,0,
2.733388,0.232772793,0.2334361,0.03494585,0.041492484,0,0,
2.766722,0.233468572,0.23428891,0.03544763,0.041560556,0,0,
2.800056,0.235031225,0.235377772,0.036045465,0.04152919,0,0,
2.83339,0.237044503,0.236414479,0.036432321,0.041208567,0,0,
2.866724,0.238553673,0.237060535,0.03624047,0.040370776,0,0,
2.900058,0.238233573,0.237209499,0.035125221,0.03879561,0,0,
2.933392,0.235614673,0.237190342,0.032846563,0.036312058,0,0,
2.966726,0.232259466,0.237595834,0.029322441,0.032821857,0,0,
3.00006,0.23079674,0.238706503,0.024632659,0.02830148,0,0,
3.033394,0.232290765,0.240026703,0.01896475,0.022788684,0,0,
3.066728,0.235274968,0.240585854,0.01252345,0.016364151,0,0,
3.100062,0.237602983,0.239873109,0.005458209,0.009137939,0,0,
3.133396,0.238355405,0.238403668,-0.002147288,0.001243956,0,0,
3.16673,0.237805112,0.237266574,-0.010230005,-0.007163826,0,0,
3.200064,0.236588443,0.237183092,-0.018691542,-0.01592129,0,0,
3.233398,0.235392821,0.238003739,-0.027376139,-0.024867839,0,0,
3.266732,0.234849405,0.238941409,-0.036098283,-0.033853076,0,0,
3.300066,0.23518517,0.239240221,-0.044695657,-0.042730698,0,0,
3.3334,0.23600435,0.238785152,-0.053062485,-0.051346562,0,0,
3.366734,0.236617035,0.238145877,-0.061136554,-0.059536734,0,0,
3.400068,0.236649098,0.237948146,-0.068854762,-0.067149535,0,0,
3.433402,0.236260337,0.238211164,-0.076119909,-0.074089119,0,0,
3.466736,0.235770092,0.238432339,-0.082811338,-0.080354709,0,0,
3.50007,0.235255309,0.238312065,-0.088833641,-0.086043315,0,0,
3.533404,0.234623747,0.238162002,-0.094165064,-0.091306103,0,0,
3.566738,0.233921411,0.238434793,-0.09886793,-0.096279829,0,0,
3.600072,0.233395349,0.238999766,-0.103054142,-0.10103087,0,0,
3.633406,0.233281555,0.239160994,-0.106832906,-0.105543062,0,0,
3.66674,0.233582435,0.238435324,-0.110279035,-0.10975289,0,0,
3.700074,0.234010411,0.237116689,-0.113439242,-0.113603096,0,0,
3.733408,0.234161091,0.235997208,-0.116355979,-0.117078067,0,0,
3.766742,0.233835549,0.235704299,-0.119071433,-0.120205742,0,0,
3.800076,0.233229585,0.236375999,-0.121601087,-0.123034807,0,0,
3.83341,0.232786227,0.237710966,-0.123907514,-0.125606033,0,0,
3.866744,0.232852805,0.239035806,-0.125910066,-0.127934894,0,0,
3.900078,0.233428961,0.239378046,-0.127529467,-0.130013009,0,0,
3.933412,0.234163535,0.237911713,-0.128731174,-0.131822264,0,0,
3.966746,0.234618139,0.23513567,-0.129534436,-0.133347789,0,0,
4.00008,0.234638147,0.234271232,-0.129987822,-0.134582591,0,0,
4.033414,0.234486959,0.239749766,-0.13014089,-0.135527688,0,0,
4.066748,0.234569391,0.249930921,-0.130038018,-0.136192045,0,0,
4.100082,0.23503609,0.253112961,-0.129728557,-0.136588604,0,0,
4.133416,0.235709289,0.242903886,-0.129263876,-0.13672137,0,0,
4.16675,0.236386742,0.23532024,-0.128665667,-0.136567819,0,0,
4.200084,0.237114064,0.244287777,-0.127881967,-0.136064986,0,0,
4.233418,0.23800857,0.249337667,-0.126754404,-0.135092899,0,0,
4.266752,0.238816223,0.235214061,-0.124988885,-0.133426746,0,0,
4.300086,0.238905339,0.23070155,-0.122089912,-0.130631667,0,0,
4.33342,0.237922582,0.244283329,-0.117247343,-0.12592894,0,0,
4.366754,0.236360211,0.239691043,-0.109261165,-0.118140582,0,0,
4.400088,0.235305705,0.223623462,-0.096656261,-0.105834724,0,0,
4.433422,0.23561467,0.232989899,-0.078064366,-0.087699628,0,0,
4.466756,0.237233574,0.24764141,-0.052760125,-0.06302475,0,0,
4.50009,0.239130216,0.241928795,-0.021093047,-0.032076002,0,0,
4.533424,0.2399469,0.238189996,0.015409058,0.003803594,0,0,
4.566758,0.239010438,0.241079952,0.054305853,0.042393741,0,0,
4.600092,0.236816696,0.23135235,0.092739083,0.080994847,0,0,
4.633426,0.234513622,0.221436468,0.127957249,0.116882519,0,0,
4.66676,0.233022815,0.231268935,0.157733784,0.14771596,0,0,
4.700094,0.23267864,0.247657481,0.180635714,0.171854324,0,0,
4.733428,0.233390691,0.25054332,0.196146316,0.188556826,0,0,
4.766762,0.234793735,0.242216633,0.204641655,0.1980315,0,0,
